# z Ex Hy
166.000000 -91258.430561 -91258.430561
167.000000 124496.430160 124496.430160
168.000000 28672.676388 28672.676388
169.000000 -263921.851851 -263921.851851
170.000000 227965.460740 227965.460740
171.000000 240625.206125 240625.206125
172.000000 -630758.189460 -630758.189460
173.000000 166482.226984 166482.226984
174.000000 913048.256037 913048.256037
175.000000 -1028925.063166 -1028925.063166
176.000000 -663126.749041 -663126.749041
177.000000 2114578.872345 2114578.872345
178.000000 -456863.024041 -456863.024041
179.000000 -2899911.074064 -2899911.074064
180.000000 2479732.130099 2479732.130099
181.000000 2770663.608485 2770663.608485
182.000000 -5046401.437633 -5046401.437633
183.000000 -1299273.027353 -1299273.027353
184.000000 7525462.426274 7525462.426274
185.000000 -1561068.637936 -1561068.637936
186.000000 -9269681.594647 -9269681.594647
187.000000 5462595.046154 5462595.046154
188.000000 9868942.957163 9868942.957163
189.000000 -9812479.959243 -9812479.959243
190.000000 -9283275.717184 -9283275.717184
191.000000 13987039.978630 13987039.978630
192.000000 7821506.213333 7821506.213333
193.000000 -17502808.273162 -17502808.273162
194.000000 -6007592.119294 -6007592.119294
195.000000 20084818.731546 20084818.731546
196.000000 4408393.494309 4408393.494309
197.000000 -21635428.341135 -21635428.341135
198.000000 -3483681.634668 -3483681.634668
199.000000 22150037.980985 22150037.980985
