i,z,Ex,Hy
0,0,0.108739,-0.0992053
1,1,0.126312,-0.0790028
2,2,0.141892,-0.0575543
3,3,0.155235,-0.0351981
4,4,0.16613,-0.0122869
5,5,0.174405,0.0108181
6,6,0.179929,0.0337525
7,7,0.182616,0.0561546
8,8,0.182423,0.0776711
9,9,0.179352,0.0979627
10,10,0.173454,0.116709
11,11,0.16482,0.133615
12,12,0.153586,0.148414
13,13,0.139931,0.160873
14,14,0.124069,0.170794
15,15,0.10625,0.178022
16,16,0.0867549,0.182442
17,17,0.0658922,0.183985
18,18,0.0439903,0.182626
19,19,0.0213946,0.178388
20,20,-0.00153851,0.171336
21,21,-0.0244473,0.161582
22,22,-0.0469706,0.149279
23,23,-0.0687531,0.134623
24,24,-0.0894514,0.117843
25,25,-0.108739,0.0992053
26,26,-0.126312,0.0790028
27,27,-0.141892,0.0575543
28,28,-0.155235,0.0351981
29,29,-0.16613,0.0122869
30,30,-0.174405,-0.0108181
31,31,-0.179929,-0.0337525
32,32,-0.182616,-0.0561546
33,33,-0.182423,-0.0776711
34,34,-0.179352,-0.0979627
35,35,-0.173454,-0.116709
36,36,-0.16482,-0.133615
37,37,-0.153586,-0.148414
38,38,-0.139931,-0.160873
39,39,-0.124069,-0.170794
40,40,-0.10625,-0.178022
41,41,-0.0867549,-0.182442
42,42,-0.0658922,-0.183985
43,43,-0.0439903,-0.182626
44,44,-0.0213946,-0.178388
45,45,0.00153851,-0.171336
46,46,0.0244473,-0.161582
47,47,0.0469706,-0.149279
48,48,0.0687531,-0.134623
49,49,0.0894514,-0.117843
50,50,0.108739,-0.0992053
51,51,0.126312,-0.0790028
52,52,0.141892,-0.0575543
53,53,0.155235,-0.0351981
54,54,0.16613,-0.0122869
55,55,0.174405,0.0108181
56,56,0.179929,0.0337525
57,57,0.182616,0.0561546
58,58,0.182423,0.0776711
59,59,0.179352,0.0979627
60,60,0.173454,0.116709
61,61,0.16482,0.133615
62,62,0.153586,0.148414
63,63,0.139931,0.160873
64,64,0.124069,0.170794
65,65,0.10625,0.178022
66,66,0.0867549,0.182442
67,67,0.0658922,0.183985
68,68,0.0439903,0.182626
69,69,0.0213946,0.178388
70,70,-0.00153851,0.171336
71,71,-0.0244473,0.161582
72,72,-0.0469706,0.149279
73,73,-0.0687531,0.134623
74,74,-0.0894514,0.117843
75,75,-0.108739,0.0992053
76,76,-0.126312,0.0790028
77,77,-0.141892,0.0575543
