i,z,Ex,Hy
0,0,0.0385709,-0.0317496
1,1,0.0516697,-0.0177586
2,2,0.0639537,-0.00348747
3,3,0.0752291,0.0108386
4,4,0.0853181,0.0249938
5,5,0.0940615,0.0387548
6,6,0.101322,0.0519046
7,7,0.106984,0.0642358
8,8,0.110959,0.075554
9,9,0.113184,0.0856807
10,10,0.113624,0.0944561
11,11,0.112272,0.101742
12,12,0.10915,0.107423
13,13,0.104306,0.11141
14,14,0.0978172,0.11364
15,15,0.0897858,0.114078
16,16,0.0803385,0.112717
17,17,0.0696241,0.109579
18,18,0.0578118,0.104712
19,19,0.0450877,0.0981935
20,20,0.0316526,0.0901267
21,21,0.0177183,0.0806385
22,22,0.00350454,0.0698787
23,23,-0.0107645,0.0580168
24,24,-0.0248637,0.0452399
25,25,-0.0385709,0.0317496
26,26,-0.0516697,0.0177586
27,27,-0.0639537,0.00348747
28,28,-0.0752291,-0.0108386
29,29,-0.0853181,-0.0249938
30,30,-0.0940615,-0.0387548
31,31,-0.101322,-0.0519046
32,32,-0.106984,-0.0642358
33,33,-0.110959,-0.075554
34,34,-0.113184,-0.0856807
35,35,-0.113624,-0.0944561
36,36,-0.112272,-0.101742
37,37,-0.10915,-0.107423
38,38,-0.104306,-0.11141
39,39,-0.0978172,-0.11364
40,40,-0.0897858,-0.114078
41,41,-0.0803385,-0.112717
42,42,-0.0696241,-0.109579
43,43,-0.0578118,-0.104712
44,44,-0.0450877,-0.0981935
45,45,-0.0316526,-0.0901267
46,46,-0.0177183,-0.0806385
47,47,-0.00350454,-0.0698787
48,48,0.0107645,-0.0580168
49,49,0.0248637,-0.0452399
50,50,0.0385709,-0.0317496
51,51,0.0516697,-0.0177586
52,52,0.0639537,-0.00348747
53,53,0.0752291,0.0108386
54,54,0.0853181,0.0249938
55,55,0.0940615,0.0387548
56,56,0.101322,0.0519046
57,57,0.106984,0.0642358
58,58,0.110959,0.075554
59,59,0.113184,0.0856807
60,60,0.113624,0.0944561
61,61,0.112272,0.101742
62,62,0.10915,0.107423
63,63,0.104306,0.11141
64,64,0.0978172,0.11364
65,65,0.0897858,0.114078
66,66,0.0803385,0.112717
67,67,0.0696241,0.109579
68,68,0.0578118,0.104712
69,69,0.0450877,0.0981935
70,70,0.0316526,0.0901267
71,71,0.0177183,0.0806385
72,72,0.00350454,0.0698787
73,73,-0.0107645,0.0580168
74,74,-0.0248637,0.0452399
75,75,-0.0385709,0.0317496
76,76,-0.0516697,0.0177586
77,77,-0.0639537,0.00348747
78,78,-0.0752291,-0.0108386
79,79,-0.0853181,-0.0249938
80,80,-0.0940615,-0.0387548
81,81,-0.101322,-0.0519046
82,82,-0.106984,-0.0642358
83,83,-0.110959,-0.075554
84,84,-0.113184,-0.0856807
85,85,-0.113624,-0.0944561
86,86,-0.112272,-0.101742
87,87,-0.10915,-0.107423
88,88,-0.104306,-0.11141
89,89,-0.0978172,-0.11364
90,90,-0.0897858,-0.114078
91,91,-0.0803385,-0.112717
92,92,-0.0696241,-0.109579
93,93,-0.0578118,-0.104712
94,94,-0.0450877,-0.0981935
95,95,-0.0316526,-0.0901267
96,96,-0.0177183,-0.0806385
97,97,-0.00350454,-0.0698787
98,98,0.0107645,-0.0580168
99,99,0.0248637,-0.0452399
100,100,0.0385709,-0.0317496
101,101,0.0516697,-0.0177586
102,102,0.0639537,-0.00348747
103,103,0.0752291,0.0108386
104,104,0.0853181,0.0249938
105,105,0.0940615,0.0387548
106,106,0.101322,0.0519046
107,107,0.106984,0.0642358
108,108,0.110959,0.075554
109,109,0.113184,0.0856807
110,110,0.113624,0.0944561
111,111,0.112272,0.101742
112,112,0.10915,0.107423
113,113,0.104306,0.11141
114,114,0.0978172,0.11364
115,115,0.0897858,0.114078
116,116,0.0803385,0.112717
117,117,0.0696241,0.109579
118,118,0.0578118,0.104712
119,119,0.0450877,0.0981935
120,120,0.0316526,0.0901267
121,121,0.0177183,0.0806385
122,122,0.00350454,0.0698787
123,123,-0.0107645,0.0580168
124,124,-0.0248637,0.0452399
125,125,-0.0385709,0.0317496
126,126,-0.0516697,0.0177586
127,127,-0.0639537,0.00348747
128,128,-0.0752291,-0.0108386
129,129,-0.0853181,-0.0249938
130,130,-0.0940615,-0.0387548
131,131,-0.101322,-0.0519046
132,132,-0.106984,-0.0642358
133,133,-0.110959,-0.075554
134,134,-0.113184,-0.0856807
135,135,-0.113624,-0.0944561
136,136,-0.112272,-0.101742
137,137,-0.10915,-0.107423
138,138,-0.104306,-0.11141
139,139,-0.0978172,-0.11364
140,140,-0.0897858,-0.114078
141,141,-0.0803385,-0.112717
142,142,-0.0696241,-0.109579
143,143,-0.0578118,-0.104712
144,144,-0.0450877,-0.0981935
145,145,-0.0316526,-0.0901267
146,146,-0.0177183,-0.0806385
147,147,-0.00350454,-0.0698787
148,148,0.0107645,-0.0580168
149,149,0.0248637,-0.0452399
150,150,0.0385709,-0.0317496
151,151,0.0516697,-0.0177586
152,152,0.0639537,-0.00348747
153,153,0.0752291,0.0108386
154,154,0.0853181,0.0249938
155,155,0.0940615,0.0387548
156,156,0.101322,0.0519046
157,157,0.106984,0.0642358
158,158,0.110959,0.075554
159,159,0.113184,0.0856807
160,160,0.113624,0.0944561
161,161,0.112272,0.101742
162,162,0.10915,0.107423
163,163,0.104306,0.11141
164,164,0.0978172,0.11364
165,165,0.0897858,0.114078
166,166,0.0803385,0.112717
167,167,0.0696241,0.109579
168,168,0.0578118,0.104712
169,169,0.0450877,0.0981935
170,170,0.0316526,0.0901267
171,171,0.0177183,0.0806385
172,172,0.00350454,0.0698787
173,173,-0.0107645,0.0580168
174,174,-0.0248637,0.0452399
175,175,-0.0385709,0.0317496
176,176,-0.0516697,0.0177586
177,177,-0.0639537,0.00348747
178,178,-0.0752291,-0.0108386
179,179,-0.0853181,-0.0249938
180,180,-0.0940615,-0.0387548
181,181,-0.101322,-0.0519046
182,182,-0.106984,-0.0642358
183,183,-0.110959,-0.075554
184,184,-0.113184,-0.0856807
185,185,-0.113624,-0.0944561
186,186,-0.112272,-0.101742
187,187,-0.10915,-0.107423
188,188,-0.104306,-0.11141
189,189,-0.0978172,-0.11364
190,190,-0.0897858,-0.114078
191,191,-0.0803385,-0.112717
192,192,-0.0696241,-0.109579
193,193,-0.0578118,-0.104712
194,194,-0.0450877,-0.0981935
195,195,-0.0316526,-0.0901267
196,196,-0.0177183,-0.0806385
197,197,-0.00350454,-0.0698787
198,198,0.0107645,-0.0580168
199,199,0.0248637,-0.0452399
