i,z,Ex,Hy
0,0,0.0595661,-0.0521165
1,1,0.073638,-0.0366303
2,2,0.0865485,-0.0205665
3,3,0.0980941,-0.00417836
4,4,0.108093,0.0122757
5,5,0.116387,0.0285362
6,6,0.122845,0.0443466
7,7,0.127366,0.0594577
8,8,0.129879,0.073631
9,9,0.130343,0.0866432
10,10,0.128751,0.098289
11,11,0.125129,0.108385
12,12,0.119534,0.116771
13,13,0.112054,0.123316
14,14,0.102806,0.127916
15,15,0.0919375,0.130499
16,16,0.0796187,0.131023
17,17,0.0660443,0.129482
18,18,0.0514284,0.125898
19,19,0.0360014,0.120329
20,20,0.0200066,0.112862
21,21,0.00369631,0.103616
22,22,-0.0126723,0.092735
23,23,-0.028841,0.0803918
24,24,-0.0445549,0.0667807
25,25,-0.0595661,0.0521165
26,26,-0.073638,0.0366303
27,27,-0.0865485,0.0205665
28,28,-0.0980941,0.00417836
29,29,-0.108093,-0.0122757
30,30,-0.116387,-0.0285362
31,31,-0.122845,-0.0443466
32,32,-0.127366,-0.0594577
33,33,-0.129879,-0.073631
34,34,-0.130343,-0.0866432
35,35,-0.128751,-0.098289
36,36,-0.125129,-0.108385
37,37,-0.119534,-0.116771
38,38,-0.112054,-0.123316
39,39,-0.102806,-0.127916
40,40,-0.0919375,-0.130499
41,41,-0.0796187,-0.131023
42,42,-0.0660443,-0.129482
43,43,-0.0514284,-0.125898
44,44,-0.0360014,-0.120329
45,45,-0.0200066,-0.112862
46,46,-0.00369631,-0.103616
47,47,0.0126723,-0.092735
48,48,0.028841,-0.0803918
49,49,0.0445549,-0.0667807
50,50,0.0595661,-0.0521165
51,51,0.073638,-0.0366303
52,52,0.0865485,-0.0205665
53,53,0.0980941,-0.00417836
54,54,0.108093,0.0122757
55,55,0.116387,0.0285362
56,56,0.122845,0.0443466
57,57,0.127366,0.0594577
58,58,0.129879,0.073631
59,59,0.130343,0.0866432
60,60,0.128751,0.098289
61,61,0.125129,0.108385
62,62,0.119534,0.116771
63,63,0.112054,0.123316
64,64,0.102806,0.127916
65,65,0.0919375,0.130499
66,66,0.0796187,0.131023
67,67,0.0660443,0.129482
68,68,0.0514284,0.125898
69,69,0.0360014,0.120329
70,70,0.0200066,0.112862
71,71,0.00369631,0.103616
72,72,-0.0126723,0.092735
73,73,-0.028841,0.0803918
74,74,-0.0445549,0.0667807
75,75,-0.0595661,0.0521165
76,76,-0.073638,0.0366303
77,77,-0.0865485,0.0205665
78,78,-0.0980941,0.00417836
79,79,-0.108093,-0.0122757
80,80,-0.116387,-0.0285362
81,81,-0.122845,-0.0443466
82,82,-0.127366,-0.0594577
83,83,-0.129879,-0.073631
84,84,-0.130343,-0.0866432
85,85,-0.128751,-0.098289
86,86,-0.125129,-0.108385
87,87,-0.119534,-0.116771
88,88,-0.112054,-0.123316
89,89,-0.102806,-0.127916
90,90,-0.0919375,-0.130499
91,91,-0.0796187,-0.131023
92,92,-0.0660443,-0.129482
93,93,-0.0514284,-0.125898
94,94,-0.0360014,-0.120329
95,95,-0.0200066,-0.112862
96,96,-0.00369631,-0.103616
97,97,0.0126723,-0.092735
98,98,0.028841,-0.0803918
99,99,0.0445549,-0.0667807
100,100,0.0595661,-0.0521165
101,101,0.073638,-0.0366303
102,102,0.0865485,-0.0205665
103,103,0.0980941,-0.00417836
104,104,0.108093,0.0122757
105,105,0.116387,0.0285362
106,106,0.122845,0.0443466
107,107,0.127366,0.0594577
108,108,0.129879,0.073631
109,109,0.130343,0.0866432
110,110,0.128751,0.098289
111,111,0.125129,0.108385
112,112,0.119534,0.116771
113,113,0.112054,0.123316
114,114,0.102806,0.127916
115,115,0.0919375,0.130499
116,116,0.0796187,0.131023
117,117,0.0660443,0.129482
118,118,0.0514284,0.125898
119,119,0.0360014,0.120329
120,120,0.0200066,0.112862
121,121,0.00369631,0.103616
122,122,-0.0126723,0.092735
123,123,-0.028841,0.0803918
124,124,-0.0445549,0.0667807
125,125,-0.0595661,0.0521165
126,126,-0.073638,0.0366303
127,127,-0.0865485,0.0205665
128,128,-0.0980941,0.00417836
129,129,-0.108093,-0.0122757
130,130,-0.116387,-0.0285362
131,131,-0.122845,-0.0443466
132,132,-0.127366,-0.0594577
133,133,-0.129879,-0.073631
134,134,-0.130343,-0.0866432
135,135,-0.128751,-0.098289
136,136,-0.125129,-0.108385
137,137,-0.119534,-0.116771
138,138,-0.112054,-0.123316
139,139,-0.102806,-0.127916
140,140,-0.0919375,-0.130499
