i,z,Ex,Hy
0,0,0.138666,-0.127603
1,1,0.158891,-0.104011
2,2,0.176611,-0.0787793
3,3,0.191545,-0.0523049
4,4,0.203458,-0.0250056
5,5,0.212163,0.00268809
6,6,0.217521,0.0303394
7,7,0.219449,0.0575122
8,8,0.217917,0.083778
9,9,0.212947,0.108723
10,10,0.20462,0.131952
11,11,0.193065,0.153101
12,12,0.178466,0.171836
13,13,0.161052,0.18786
14,14,0.141098,0.200922
15,15,0.118919,0.210816
16,16,0.0948649,0.217384
17,17,0.0693144,0.220524
18,18,0.0426708,0.220187
19,19,0.0153543,0.216377
20,20,-0.0122044,0.209154
21,21,-0.0395706,0.198633
22,22,-0.0663127,0.18498
23,23,-0.0920091,0.168409
24,24,-0.116254,0.149182
25,25,-0.138666,0.127603
26,26,-0.158891,0.104011
27,27,-0.176611,0.0787793
28,28,-0.191545,0.0523049
29,29,-0.203458,0.0250056
30,30,-0.212163,-0.00268809
31,31,-0.217521,-0.0303394
32,32,-0.219449,-0.0575122
33,33,-0.217917,-0.083778
34,34,-0.212947,-0.108723
35,35,-0.20462,-0.131952
36,36,-0.193065,-0.153101
37,37,-0.178466,-0.171836
38,38,-0.161052,-0.18786
39,39,-0.141098,-0.200922
40,40,-0.118919,-0.210816
41,41,-0.0948649,-0.217384
42,42,-0.0693144,-0.220524
43,43,-0.0426708,-0.220187
44,44,-0.0153543,-0.216377
45,45,0.0122044,-0.209154
46,46,0.0395706,-0.198633
47,47,0.0663127,-0.18498
48,48,0.0920091,-0.168409
49,49,0.116254,-0.149182
50,50,0.138666,-0.127603
51,51,0.158891,-0.104011
52,52,0.176611,-0.0787793
53,53,0.191545,-0.0523049
54,54,0.203458,-0.0250056
55,55,0.212163,0.00268809
56,56,0.217521,0.0303394
57,57,0.219449,0.0575122
58,58,0.217917,0.083778
59,59,0.212947,0.108723
60,60,0.20462,0.131952
61,61,0.193065,0.153101
62,62,0.178466,0.171836
63,63,0.161052,0.18786
