Paso;z;Ex;Hy
1;133.333;0.0872355;0.0872355
1;135.354;0.0803428;0.0803428
1;137.374;0.0721574;0.0721574
1;139.394;0.062811;0.062811
1;141.414;0.0524539;0.0524539
1;143.434;0.0412528;0.0412528
1;145.455;0.0293879;0.0293879
1;147.475;0.0170502;0.0170502
1;149.495;0.00443808;0.00443808
1;151.515;-0.00824541;-0.00824541
1;153.535;-0.0207962;-0.0207962
1;155.556;-0.0330124;-0.0330124
1;157.576;-0.0446975;-0.0446975
1;159.596;-0.0556633;-0.0556633
1;161.616;-0.0657335;-0.0657335
1;163.636;-0.074746;-0.074746
1;165.657;-0.0825558;-0.0825558
1;167.677;-0.0890372;-0.0890372
1;169.697;-0.094086;-0.094086
1;171.717;-0.097621;-0.097621
1;173.737;-0.0995852;-0.0995852
1;175.758;-0.099947;-0.099947
1;177.778;-0.0987006;-0.0987006
1;179.798;-0.0958661;-0.0958661
1;181.818;-0.0914891;-0.0914891
1;183.838;-0.08564;-0.08564
1;185.859;-0.0784129;-0.0784129
1;187.879;-0.0699241;-0.0699241
1;189.899;-0.0603102;-0.0603102
1;191.919;-0.0497259;-0.0497259
1;193.939;-0.0383415;-0.0383415
1;195.96;-0.0263401;-0.0263401
1;197.98;-0.013915;-0.013915
1;200;0;0
2;0;0;0
2;2.0202;0.010209;0.010209
2;4.0404;0.0226601;0.0226601
2;6.06061;0.0348098;0.0348098
2;8.08081;0.0463994;0.0463994
2;10.101;0.0572425;0.0572425
2;12.1212;0.0671645;0.0671645
2;14.1414;0.0760057;0.0760057
2;16.1616;0.0836241;0.0836241
2;18.1818;0.0898969;0.0898969
2;20.202;0.0947232;0.0947232
2;22.2222;0.0980253;0.0980253
2;24.2424;0.0997503;0.0997503
2;26.2626;0.0998702;0.0998702
2;28.2828;0.0983831;0.0983831
2;30.303;0.095313;0.095313
2;32.3232;0.0907093;0.0907093
2;34.3434;0.0846461;0.0846461
2;36.3636;0.0772209;0.0772209
2;38.3838;0.0685531;0.0685531
2;40.404;0.0587823;0.0587823
2;42.4242;0.0480657;0.0480657
2;44.4444;0.0365757;0.0365757
2;46.4646;0.0244972;0.0244972
2;48.4848;0.0120245;0.0120245
2;50.5051;-0.00064171;-0.00064171
2;52.5253;-0.0132976;-0.0132976
2;54.5455;-0.0257394;-0.0257394
2;56.5657;-0.0377672;-0.0377672
2;58.5859;-0.0491872;-0.0491872
