Paso;z;Ex;Hy
1;193.939;-0.0442177;-0.0442177
1;195.96;-0.0324669;-0.0324669
1;197.98;-0.0201937;-0.0201937
1;200;-0.00759555;-0.00759555
2;0;-0.0151911;-0.0151911
2;2.0202;-0.00248267;-0.00248267
2;4.0404;0.0102657;0.0102657
2;6.06061;0.0228489;0.0228489
2;8.08081;0.0350644;0.0350644
2;10.101;0.0467158;0.0467158
2;12.1212;0.0576155;0.0576155
2;14.1414;0.0675881;0.0675881
2;16.1616;0.0764732;0.0764732
2;18.1818;0.0841278;0.0841278
2;20.202;0.0904288;0.0904288
2;22.2222;0.0952747;0.0952747
2;24.2424;0.0985876;0.0985876
2;26.2626;0.100314;0.100314
2;28.2828;0.100427;0.100427
2;30.303;0.0989234;0.0989234
2;32.3232;0.0958283;0.0958283
2;34.3434;0.0911913;0.0911913
2;36.3636;0.085087;0.085087
2;38.3838;0.0776136;0.0776136
2;40.404;0.0688914;0.0688914
2;42.4242;0.0590607;0.0590607
2;44.4444;0.0482797;0.0482797
2;46.4646;0.0367218;0.0367218
2;48.4848;0.0245731;0.0245731
2;50.5051;0.012029;0.012029
2;52.5253;-0.000708707;-0.000708707
2;54.5455;-0.013435;-0.013435
2;56.5657;-0.0259451;-0.0259451
2;58.5859;-0.0380377;-0.0380377
2;60.6061;-0.0495183;-0.0495183
2;62.6263;-0.0602021;-0.0602021
2;64.6465;-0.0699172;-0.0699172
2;66.6667;-0.0785074;-0.0785074
2;68.6869;-0.0858343;-0.0858343
2;70.7071;-0.0917801;-0.0917801
2;72.7273;-0.0962492;-0.0962492
2;74.7475;-0.0991695;-0.0991695
2;76.7677;-0.100494;-0.100494
2;78.7879;-0.100202;-0.100202
2;80.8081;-0.0982973;-0.0982973
2;82.8283;-0.0948111;-0.0948111
2;84.8485;-0.0897993;-0.0897993
2;86.8687;-0.0833427;-0.0833427
2;88.8889;-0.075545;-0.075545
2;90.9091;-0.0665317;-0.0665317
2;92.9293;-0.056448;-0.056448
2;94.9495;-0.0454559;-0.0454559
2;96.9697;-0.0337325;-0.0337325
2;98.9899;-0.0214663;-0.0214663
2;101.01;-0.00885471;-0.00885471
2;103.03;0.00389937;0.00389937
2;105.051;0.0165907;0.0165907
2;107.071;0.0290151;0.0290151
2;109.091;0.0409726;0.0409726
2;111.111;0.0522709;0.0522709
2;113.131;0.0627281;0.0627281
2;115.152;0.0721759;0.0721759
2;117.172;0.0804625;0.0804625
2;119.192;0.0874544;0.0874544
2;121.212;0.0930391;0.0930391
2;123.232;0.0971267;0.0971267
2;125.253;0.0996516;0.0996516
2;127.273;0.100573;0.100573
2;129.293;0.0998762;0.0998762
2;131.313;0.0975723;0.0975723
2;133.333;0.0936985;0.0936985
2;135.354;0.088317;0.088317
2;137.374;0.0815144;0.0815144
2;139.394;0.0734003;0.0734003
2;141.414;0.0641051;0.0641051
2;143.434;0.0537784;0.0537784
2;145.455;0.0425865;0.0425865
2;147.475;0.0307093;0.0307093
2;149.495;0.0183379;0.0183379
2;151.515;0.00567154;0.00567154
2;153.535;-0.0070861;-0.0070861
2;155.556;-0.0197297;-0.0197297
2;157.576;-0.0320559;-0.0320559
2;159.596;-0.0438663;-0.0438663
2;161.616;-0.0549708;-0.0549708
2;163.636;-0.0651909;-0.0651909
2;165.657;-0.074362;-0.074362
2;167.677;-0.0823366;-0.0823366
2;169.697;-0.0889864;-0.0889864
2;171.717;-0.0942043;-0.0942043
2;173.737;-0.0979065;-0.0979065
2;175.758;-0.100033;-0.100033
2;177.778;-0.100551;-0.100551
2;179.798;-0.0994499;-0.0994499
2;181.818;-0.096749;-0.096749
2;183.838;-0.0924914;-0.0924914
2;185.859;-0.0867457;-0.0867457
2;187.879;-0.0796041;-0.0796041
2;189.899;-0.0711817;-0.0711817
2;191.919;-0.0616139;-0.0616139
2;193.939;-0.0510547;-0.0510547
2;195.96;-0.0396741;-0.0396741
2;197.98;-0.0276551;-0.0276551
2;200;-0.0151911;-0.0151911
3;0;-0.0227428;-0.0227428
3;2.0202;-0.0101197;-0.0101197
3;4.0404;0.00266624;0.00266624
3;6.06061;0.0154093;0.0154093
3;8.08081;0.0279044;0.0279044
3;10.101;0.0399505;0.0399505
3;12.1212;0.0513538;0.0513538
3;14.1414;0.0619308;0.0619308
3;16.1616;0.0715113;0.0715113
3;18.1818;0.0799411;0.0799411
3;20.202;0.0870847;0.0870847
3;22.2222;0.0928271;0.0928271
3;24.2424;0.0970758;0.0970758
3;26.2626;0.0997625;0.0997625
3;28.2828;0.100844;0.100844
3;30.303;0.100303;0.100303
