x,T=1,T=10,T=50,T=100,T=150,T=200,T=250,T=300
4.35435,1.20553e-05,0.203855,0.49522,0.553496,0.574415,0.585171,0.591722,0.59613
4.41441,1.19324e-05,0.202794,0.492943,0.550995,0.571835,0.582551,0.589077,0.593469
4.47447,1.18171e-05,0.201969,0.491282,0.549188,0.569978,0.580668,0.587178,0.591559
4.53453,1.17095e-05,0.201357,0.490163,0.547991,0.568754,0.57943,0.585933,0.590308
4.59459,1.16099e-05,0.200925,0.489487,0.547288,0.568043,0.578716,0.585216,0.58959
4.65465,1.1518e-05,0.200633,0.489137,0.546949,0.567709,0.578384,0.584886,0.589262
4.71471,1.14338e-05,0.200436,0.488993,0.546835,0.567607,0.578289,0.584795,0.589173
4.77477,1.13568e-05,0.200294,0.488939,0.546816,0.567601,0.57829,0.5848,0.589181
4.83483,1.12867e-05,0.200166,0.488871,0.546774,0.567569,0.578263,0.584777,0.58916
4.89489,1.12229e-05,0.200022,0.488707,0.546615,0.567414,0.578109,0.584624,0.589008
4.95495,1.11651e-05,0.199836,0.488387,0.546274,0.567065,0.577757,0.584269,0.588652
5.01502,1.11126e-05,0.199594,0.487876,0.545713,0.566485,0.577168,0.583675,0.588053
5.07508,1.10652e-05,0.199289,0.487168,0.544923,0.565667,0.576335,0.582832,0.587205
5.13514,1.10225e-05,0.198926,0.486277,0.543925,0.564629,0.575277,0.581762,0.586127
5.1952,1.09842e-05,0.198515,0.48524,0.542758,0.563416,0.57404,0.580511,0.584865
5.25526,1.09502e-05,0.198072,0.484106,0.541482,0.562089,0.572686,0.579141,0.583484
5.31532,1.09204e-05,0.197617,0.482937,0.540165,0.560718,0.571288,0.577725,0.582058
5.37538,1.08947e-05,0.197174,0.481795,0.538879,0.55938,0.569923,0.576344,0.580665
5.43544,1.08732e-05,0.196766,0.480743,0.537694,0.558147,0.568666,0.575072,0.579383
5.4955,1.08559e-05,0.196412,0.479836,0.536674,0.557087,0.567584,0.573977,0.57828
5.55556,1.08429e-05,0.196131,0.479122,0.535871,0.556252,0.566733,0.573116,0.577412
5.61562,1.08342e-05,0.195936,0.478633,0.535323,0.555682,0.566152,0.572529,0.57682
5.67568,1.08298e-05,0.195837,0.47839,0.535052,0.555402,0.565866,0.57224,0.576529
5.73574,1.08298e-05,0.195836,0.4784,0.535066,0.555417,0.565883,0.572257,0.576546
5.7958,1.08339e-05,0.195933,0.478658,0.535358,0.555721,0.566193,0.572571,0.576863
5.85586,1.0842e-05,0.196123,0.479145,0.535906,0.556292,0.566775,0.57316,0.577457
5.91592,1.08538e-05,0.196395,0.479835,0.536682,0.557099,0.567598,0.573993,0.578296
5.97598,1.0869e-05,0.196737,0.480695,0.537647,0.558102,0.56862,0.575027,0.579338
6.03604,1.08872e-05,0.197136,0.481686,0.538758,0.559256,0.569797,0.576217,0.580537
6.0961,1.09078e-05,0.197574,0.482769,0.539971,0.560514,0.571079,0.577514,0.581844
6.15616,1.09303e-05,0.198037,0.483903,0.541238,0.56183,0.57242,0.57887,0.58321
6.21622,1.09542e-05,0.198509,0.485048,0.542518,0.563159,0.573773,0.580238,0.584589
6.27628,1.0979e-05,0.198973,0.486169,0.54377,0.564457,0.575096,0.581575,0.585936
6.33634,1.10039e-05,0.199417,0.487234,0.544958,0.565689,0.57635,0.582843,0.587213
6.3964,1.10285e-05,0.199829,0.488214,0.546049,0.56682,0.577502,0.584008,0.588386
6.45646,1.10523e-05,0.200198,0.489085,0.547019,0.567826,0.578526,0.585043,0.589428
6.51652,1.10747e-05,0.200516,0.48983,0.547847,0.568684,0.579399,0.585925,0.590317
6.57658,1.10955e-05,0.200778,0.490435,0.548519,0.569379,0.580106,0.58664,0.591037
6.63664,1.11143e-05,0.200981,0.490892,0.549025,0.569902,0.580639,0.587178,0.591578
6.6967,1.11308e-05,0.201123,0.491199,0.549363,0.570252,0.580993,0.587536,0.591939
6.75676,1.11448e-05,0.201206,0.491359,0.549537,0.57043,0.581175,0.587719,0.592122
6.81682,1.11564e-05,0.201233,0.491382,0.549557,0.570449,0.581192,0.587736,0.592139
6.87688,1.11652e-05,0.20121,0.491281,0.549438,0.570323,0.581063,0.587605,0.592007
6.93694,1.11715e-05,0.201145,0.491075,0.549201,0.570076,0.58081,0.587348,0.591748
6.997,1.11752e-05,0.201047,0.490788,0.548874,0.569733,0.58046,0.586994,0.59139
7.05706,1.11764e-05,0.200925,0.490446,0.548485,0.569328,0.580046,0.586574,0.590967
7.11712,1.11751e-05,0.200792,0.490078,0.548067,0.568891,0.5796,0.586122,0.590512
7.17718,1.11714e-05,0.200657,0.489711,0.547651,0.568458,0.579157,0.585674,0.59006
7.23724,1.11654e-05,0.200529,0.489372,0.547267,0.568058,0.57875,0.585261,0.589643
7.2973,1.1157e-05,0.200418,0.489083,0.546942,0.567719,0.578404,0.584911,0.58929
