# x		T
# =================================
-1	1.38879e-11
-0.98	3.73757e-11
-0.96	9.85951e-11
-0.94	2.54938e-10
-0.92	6.46143e-10
-0.9	1.60523e-09
-0.88	3.90894e-09
-0.86	9.33029e-09
-0.84	2.18296e-08
-0.82	5.00622e-08
-0.8	1.12535e-07
-0.78	2.4796e-07
-0.76	5.35535e-07
-0.74	1.13373e-06
-0.72	2.35258e-06
-0.7	4.78512e-06
-0.68	9.54016e-06
-0.66	1.86437e-05
-0.64	3.57128e-05
-0.62	6.70548e-05
-0.6	0.00012341
-0.58	0.00022263
-0.56	0.000393669
-0.54	0.000682328
-0.52	0.00115923
-0.5	0.00193045
-0.48	0.00315111
-0.46	0.00504176
-0.44	0.00790705
-0.42	0.0121552
-0.4	0.0183156
-0.38	0.0270518
-0.36	0.0391639
-0.34	0.0555762
-0.32	0.0773047
-0.3	0.105399
-0.28	0.140858
-0.26	0.18452
-0.24	0.236928
-0.22	0.298197
-0.2	0.367879
-0.18	0.444858
-0.16	0.527292
-0.14	0.612626
-0.12	0.697676
-0.1	0.778801
-0.08	0.852144
-0.06	0.913931
-0.04	0.960789
-0.02	0.99005
0	1
0.02	0.99005
0.04	0.960789
0.06	0.913931
0.08	0.852144
0.1	0.778801
0.12	0.697676
0.14	0.612626
0.16	0.527292
0.18	0.444858
0.2	0.367879
0.22	0.298197
0.24	0.236928
0.26	0.18452
0.28	0.140858
0.3	0.105399
0.32	0.0773047
0.34	0.0555762
0.36	0.0391639
0.38	0.0270518
0.4	0.0183156
0.42	0.0121552
0.44	0.00790705
0.46	0.00504176
0.48	0.00315111
0.5	0.00193045
0.52	0.00115923
0.54	0.000682328
0.56	0.000393669
0.58	0.00022263
0.6	0.00012341
0.62	6.70548e-05
0.64	3.57128e-05
0.66	1.86437e-05
0.68	9.54016e-06
0.7	4.78512e-06
0.72	2.35258e-06
0.74	1.13373e-06
0.76	5.35535e-07
0.78	2.4796e-07
0.8	1.12535e-07
0.82	5.00622e-08
0.84	2.18296e-08
0.86	9.33029e-09
0.88	3.90894e-09
0.9	1.60523e-09
0.92	6.46143e-10
0.94	2.54938e-10
0.96	9.85951e-11
0.98	3.73757e-11
1	1.38879e-11
# x		T
# =================================
-1	1.38879e-11
-0.98	4.68086e-11
-0.96	1.22376e-10
-0.94	3.13654e-10
-0.92	7.88113e-10
-0.9	1.94138e-09
-0.88	4.68835e-09
-0.86	1.10998e-08
-0.84	2.57629e-08
-0.82	5.86223e-08
-0.8	1.30773e-07
-0.78	2.85997e-07
-0.76	6.13189e-07
-0.74	1.28889e-06
-0.72	2.656e-06
-0.7	5.36574e-06
-0.68	1.06273e-05
-0.66	2.06351e-05
-0.64	3.92811e-05
-0.62	7.33081e-05
-0.6	0.000134126
-0.58	0.000240585
-0.56	0.000423074
-0.54	0.000729389
-0.52	0.00123281
-0.5	0.00204281
-0.48	0.00331861
-0.46	0.00528542
-0.44	0.00825276
-0.42	0.0126333
-0.4	0.0189596
-0.38	0.0278958
-0.36	0.040239
-0.34	0.0569053
-0.32	0.0788962
-0.3	0.10724
-0.28	0.142909
-0.26	0.186706
-0.24	0.239143
-0.22	0.3003
-0.2	0.369704
-0.18	0.446222
-0.16	0.528017
-0.14	0.612555
-0.12	0.696695
-0.1	0.776855
-0.08	0.849255
-0.06	0.910199
-0.04	0.95639
-0.02	0.985222
0	0.995025
0.02	0.985222
0.04	0.95639
0.06	0.910199
0.08	0.849255
0.1	0.776855
0.12	0.696695
0.14	0.612555
0.16	0.528017
0.18	0.446222
0.2	0.369704
0.22	0.3003
0.24	0.239143
0.26	0.186706
0.28	0.142909
0.3	0.10724
0.32	0.0788962
0.34	0.0569053
0.36	0.040239
0.38	0.0278958
0.4	0.0189596
0.42	0.0126333
0.44	0.00825276
0.46	0.00528542
0.48	0.00331861
0.5	0.00204281
0.52	0.00123281
0.54	0.000729389
0.56	0.000423074
0.58	0.000240585
0.6	0.000134126
0.62	7.33081e-05
0.64	3.92811e-05
0.66	2.06351e-05
0.68	1.06273e-05
0.7	5.36574e-06
0.72	2.656e-06
0.74	1.28889e-06
0.76	6.13189e-07
0.78	2.85997e-07
0.8	1.30773e-07
0.82	5.86223e-08
0.84	2.57629e-08
0.86	1.10998e-08
0.88	4.68835e-09
0.9	1.94138e-09
0.92	7.88113e-10
0.94	3.13654e-10
0.96	1.22376e-10
0.98	4.68086e-11
1	1.38879e-11
# x		T
# =================================
-1	1.38879e-11
-0.98	5.74703e-11
-0.96	1.51304e-10
-0.94	3.84449e-10
-0.92	9.57816e-10
-0.9	2.33981e-09
-0.88	5.60446e-09
-0.86	1.31627e-08
-0.84	3.0312e-08
-0.82	6.84451e-08
-0.8	1.51541e-07
-0.78	3.28989e-07
-0.76	7.00317e-07
-0.74	1.46174e-06
-0.72	2.99166e-06
-0.7	6.0037e-06
-0.68	1.18139e-05
-0.66	2.27947e-05
-0.64	4.31263e-05
-0.62	8.00058e-05
-0.6	0.000145536
-0.58	0.000259592
-0.56	0.00045403
-0.54	0.000778665
-0.52	0.00130946
-0.5	0.00215926
-0.48	0.00349136
-0.46	0.00553555
-0.44	0.00860605
-0.42	0.0131197
-0.4	0.0196121
-0.38	0.0287475
-0.36	0.0413197
-0.34	0.0582364
-0.32	0.0804845
-0.3	0.109071
-0.28	0.144941
-0.26	0.188866
-0.24	0.241323
-0.22	0.302362
-0.2	0.371482
-0.18	0.447541
-0.16	0.528703
-0.14	0.612456
-0.12	0.6957
-0.1	0.774915
-0.08	0.846391
-0.06	0.906511
-0.04	0.95205
