step,t,k,x,E,H
0,0.000000,0,0.000000,0.000000,0.000000
0,0.000000,1,0.005025,0.006311,0.006311
0,0.000000,2,0.010050,0.012596,0.012596
0,0.000000,3,0.015075,0.018831,0.018831
0,0.000000,4,0.020101,0.024991,0.024991
0,0.000000,5,0.025126,0.031052,0.031052
0,0.000000,6,0.030151,0.036989,0.036989
0,0.000000,7,0.035176,0.042778,0.042778
0,0.000000,8,0.040201,0.048397,0.048397
0,0.000000,9,0.045226,0.053822,0.053822
0,0.000000,10,0.050251,0.059034,0.059034
0,0.000000,11,0.055276,0.064010,0.064010
0,0.000000,12,0.060302,0.068730,0.068730
0,0.000000,13,0.065327,0.073177,0.073177
0,0.000000,14,0.070352,0.077332,0.077332
0,0.000000,15,0.075377,0.081179,0.081179
0,0.000000,16,0.080402,0.084702,0.084702
0,0.000000,17,0.085427,0.087888,0.087888
0,0.000000,18,0.090452,0.090723,0.090723
0,0.000000,19,0.095477,0.093197,0.093197
0,0.000000,20,0.100503,0.095299,0.095299
0,0.000000,21,0.105528,0.097021,0.097021
0,0.000000,22,0.110553,0.098357,0.098357
0,0.000000,23,0.115578,0.099300,0.099300
0,0.000000,24,0.120603,0.099847,0.099847
0,0.000000,25,0.125628,0.099997,0.099997
0,0.000000,26,0.130653,0.099748,0.099748
0,0.000000,27,0.135678,0.099101,0.099101
0,0.000000,28,0.140704,0.098059,0.098059
0,0.000000,29,0.145729,0.096627,0.096627
0,0.000000,30,0.150754,0.094809,0.094809
0,0.000000,31,0.155779,0.092613,0.092613
0,0.000000,32,0.160804,0.090048,0.090048
0,0.000000,33,0.165829,0.087124,0.087124
0,0.000000,34,0.170854,0.083853,0.083853
0,0.000000,35,0.175879,0.080247,0.080247
0,0.000000,36,0.180905,0.076322,0.076322
0,0.000000,37,0.185930,0.072092,0.072092
0,0.000000,38,0.190955,0.067575,0.067575
0,0.000000,39,0.195980,0.062789,0.062789
0,0.000000,40,0.201005,0.057752,0.057752
0,0.000000,41,0.206030,0.052485,0.052485
0,0.000000,42,0.211055,0.047009,0.047009
0,0.000000,43,0.216080,0.041346,0.041346
0,0.000000,44,0.221106,0.035517,0.035517
0,0.000000,45,0.226131,0.029547,0.029547
0,0.000000,46,0.231156,0.023460,0.023460
0,0.000000,47,0.236181,0.017278,0.017278
0,0.000000,48,0.241206,0.011028,0.011028
0,0.000000,49,0.246231,0.004734,0.004734
0,0.000000,50,0.251256,-0.001579,-0.001579
0,0.000000,51,0.256281,-0.007885,-0.007885
0,0.000000,52,0.261307,-0.014160,-0.014160
0,0.000000,53,0.266332,-0.020379,-0.020379
0,0.000000,54,0.271357,-0.026517,-0.026517
0,0.000000,55,0.276382,-0.032549,-0.032549
0,0.000000,56,0.281407,-0.038451,-0.038451
0,0.000000,57,0.286432,-0.044199,-0.044199
0,0.000000,58,0.291457,-0.049772,-0.049772
0,0.000000,59,0.296482,-0.055146,-0.055146
