# REMEMBER THAT  E[i] = E(z[i])  BUT  H[i] = H(z[i] + dz/2)
# z E H
0.00000 0.01794 0.02103
1.00000 0.02406 0.02714
2.00000 0.03009 0.03315
3.00000 0.03600 0.03903
4.00000 0.04177 0.04475
5.00000 0.04737 0.05030
6.00000 0.05279 0.05564
7.00000 0.05800 0.06077
8.00000 0.06298 0.06566
9.00000 0.06771 0.07029
10.00000 0.07217 0.07464
11.00000 0.07635 0.07870
12.00000 0.08023 0.08245
13.00000 0.08379 0.08587
14.00000 0.08702 0.08895
15.00000 0.08990 0.09168
16.00000 0.09244 0.09405
17.00000 0.09460 0.09605
18.00000 0.09640 0.09767
19.00000 0.09781 0.09890
20.00000 0.09884 0.09975
21.00000 0.09948 0.10020
22.00000 0.09972 0.10025
23.00000 0.09957 0.09991
24.00000 0.09903 0.09918
25.00000 0.09810 0.09805
26.00000 0.09678 0.09653
27.00000 0.09508 0.09464
28.00000 0.09300 0.09237
29.00000 0.09055 0.08974
30.00000 0.08775 0.08675
31.00000 0.08461 0.08342
32.00000 0.08112 0.07976
33.00000 0.07732 0.07579
34.00000 0.07322 0.07152
35.00000 0.06882 0.06696
36.00000 0.06415 0.06214
37.00000 0.05923 0.05708
38.00000 0.05408 0.05179
39.00000 0.04871 0.04630
40.00000 0.04315 0.04062
41.00000 0.03742 0.03478
42.00000 0.03154 0.02881
43.00000 0.02554 0.02272
44.00000 0.01944 0.01654
45.00000 0.01326 0.01030
46.00000 0.00702 0.00402
47.00000 0.00076 -0.00228
48.00000 -0.00550 -0.00857
49.00000 -0.01174 -0.01483
50.00000 -0.01794 -0.02103
51.00000 -0.02406 -0.02714
52.00000 -0.03009 -0.03315
53.00000 -0.03600 -0.03903
54.00000 -0.04177 -0.04475
55.00000 -0.04737 -0.05030
56.00000 -0.05279 -0.05564
57.00000 -0.05800 -0.06077
58.00000 -0.06298 -0.06566
59.00000 -0.06771 -0.07029
60.00000 -0.07217 -0.07464
61.00000 -0.07635 -0.07870
62.00000 -0.08023 -0.08245
63.00000 -0.08379 -0.08587
64.00000 -0.08702 -0.08895
65.00000 -0.08990 -0.09168
66.00000 -0.09244 -0.09405
67.00000 -0.09460 -0.09605
68.00000 -0.09640 -0.09767
69.00000 -0.09781 -0.09890
70.00000 -0.09884 -0.09975
71.00000 -0.09948 -0.10020
72.00000 -0.09972 -0.10025
73.00000 -0.09957 -0.09991
74.00000 -0.09903 -0.09918
75.00000 -0.09810 -0.09805
76.00000 -0.09678 -0.09653
77.00000 -0.09508 -0.09464
78.00000 -0.09300 -0.09237
79.00000 -0.09055 -0.08974
80.00000 -0.08775 -0.08675
81.00000 -0.08461 -0.08342
82.00000 -0.08112 -0.07976
83.00000 -0.07732 -0.07579
