# REMEMBER THAT  E[i] = E(z[i])  BUT  H[i] = H(z[i] + dz/2)
# z E H
0.00000 0.00000 0.00000
1.00000 0.08627 0.00348
2.00000 0.08547 0.00730
3.00000 0.08403 0.01145
4.00000 0.08240 0.01565
5.00000 0.08134 0.01963
6.00000 0.08054 0.02338
7.00000 0.07941 0.02702
8.00000 0.07815 0.03064
9.00000 0.07724 0.03468
10.00000 0.07625 0.03951
11.00000 0.07481 0.04442
12.00000 0.07271 0.04831
13.00000 0.07004 0.05125
14.00000 0.06721 0.05364
15.00000 0.06464 0.05539
16.00000 0.06232 0.05617
17.00000 0.05976 0.05685
18.00000 0.05608 0.05639
19.00000 0.05219 0.05474
20.00000 0.04904 0.05324
21.00000 0.04594 0.05050
22.00000 0.04299 0.04733
23.00000 0.04022 0.04461
24.00000 0.03767 0.04251
25.00000 0.03479 0.04100
26.00000 0.03120 0.03956
27.00000 0.02736 0.03801
28.00000 0.02398 0.03549
29.00000 0.02172 0.03254
30.00000 0.02039 0.03012
31.00000 0.01889 0.02763
32.00000 0.01627 0.02504
33.00000 0.01372 0.02344
34.00000 0.01163 0.02332
35.00000 0.00898 0.02417
36.00000 0.00618 0.02557
37.00000 0.00347 0.02730
38.00000 0.00135 0.02945
39.00000 -0.00077 0.03157
40.00000 -0.00336 0.03301
41.00000 -0.00546 0.03389
42.00000 -0.00720 0.03473
43.00000 -0.00947 0.03574
44.00000 -0.01183 0.03746
45.00000 -0.01330 0.04005
46.00000 -0.01483 0.04221
47.00000 -0.01740 0.04362
48.00000 -0.02056 0.04478
49.00000 -0.02329 0.04551
50.00000 -0.02576 0.04573
51.00000 -0.02874 0.04579
52.00000 -0.03179 0.04636
53.00000 -0.03516 0.04703
54.00000 -0.03879 0.04733
55.00000 -0.04179 0.04787
56.00000 -0.04443 0.04841
57.00000 -0.04686 0.04891
58.00000 -0.04874 0.04986
59.00000 -0.05058 0.05059
60.00000 -0.05272 0.05043
61.00000 -0.05450 0.05034
62.00000 -0.05605 0.05042
63.00000 -0.05754 0.05072
64.00000 -0.05870 0.05113
65.00000 -0.05993 0.05069
66.00000 -0.06099 0.04961
67.00000 -0.06129 0.04837
68.00000 -0.06092 0.04733
69.00000 -0.06016 0.04694
70.00000 -0.05875 0.04722
71.00000 -0.05700 0.04768
72.00000 -0.05535 0.04791
73.00000 -0.05257 0.04840
74.00000 -0.04922 0.04901
75.00000 -0.04594 0.04950
76.00000 -0.04267 0.04984
77.00000 -0.03942 0.04990
78.00000 -0.03532 0.04996
79.00000 -0.03140 0.04874
80.00000 -0.02745 0.04670
81.00000 -0.02277 0.04492
82.00000 -0.01759 0.04227
83.00000 -0.01213 0.03888
84.00000 -0.00686 0.03489
85.00000 -0.00176 0.03050
86.00000 0.00282 0.02690
87.00000 0.00739 0.02355
88.00000 0.01209 0.01948
89.00000 0.01677 0.01569
90.00000 0.02134 0.01243
91.00000 0.02534 0.00848
92.00000 0.02916 0.00468
93.00000 0.03366 0.00120
94.00000 0.03908 -0.00318
95.00000 0.04495 -0.00775
96.00000 0.05042 -0.01240
97.00000 0.05555 -0.01729
98.00000 0.06143 -0.02223
99.00000 0.06797 -0.02685
100.00000 0.07481 -0.03058
101.00000 0.08170 -0.03390
102.00000 0.08763 -0.03693
103.00000 0.09261 -0.03981
104.00000 0.09679 -0.04270
105.00000 0.09966 -0.04609
106.00000 0.10109 -0.05002
107.00000 0.10203 -0.05404
108.00000 0.10223 -0.05766
109.00000 0.10176 -0.06076
110.00000 0.10096 -0.06371
111.00000 0.09971 -0.06645
112.00000 0.09822 -0.06868
113.00000 0.09623 -0.06988
114.00000 0.09356 -0.07073
115.00000 0.09070 -0.07132
116.00000 0.08816 -0.07143
117.00000 0.08523 -0.07200
118.00000 0.08183 -0.07321
119.00000 0.07858 -0.07352
120.00000 0.07471 -0.07303
121.00000 0.06972 -0.07283
122.00000 0.06427 -0.07326
123.00000 0.05856 -0.07449
124.00000 0.05355 -0.07557
125.00000 0.04818 -0.07620
126.00000 0.04239 -0.07617
127.00000 0.03647 -0.07556
128.00000 0.02953 -0.07406
129.00000 0.02178 -0.07177
130.00000 0.01366 -0.06923
131.00000 0.00531 -0.06619
132.00000 -0.00286 -0.06200
133.00000 -0.01139 -0.05620
134.00000 -0.02023 -0.05010
135.00000 -0.02895 -0.04489
136.00000 -0.03768 -0.04043
137.00000 -0.04628 -0.03533
138.00000 -0.05465 -0.02931
139.00000 -0.06241 -0.02365
140.00000 -0.07056 -0.01864
141.00000 -0.07846 -0.01331
142.00000 -0.08539 -0.00743
143.00000 -0.09192 -0.00116
144.00000 -0.09811 0.00541
145.00000 -0.10408 0.01221
146.00000 -0.11000 0.01966
147.00000 -0.11565 0.02724
148.00000 -0.12014 0.03503
149.00000 -0.12373 0.04330
150.00000 -0.12704 0.05122
151.00000 -0.12996 0.05823
152.00000 -0.13206 0.06502
153.00000 -0.13314 0.07141
154.00000 -0.13280 0.07734
155.00000 -0.13151 0.08305
156.00000 -0.13025 0.08864
157.00000 -0.12878 0.09455
158.00000 -0.12703 0.10004
159.00000 -0.12431 0.10564
160.00000 -0.12093 0.11121
161.00000 -0.11759 0.11563
162.00000 -0.11286 0.11954
163.00000 -0.10766 0.12323
164.00000 -0.10308 0.12695
165.00000 -0.09787 0.13135
166.00000 -0.09168 0.13629
167.00000 -0.08556 0.14135
168.00000 -0.07950 0.14677
169.00000 -0.07245 0.15249
170.00000 -0.06520 0.15763
171.00000 -0.05773 0.16212
172.00000 -0.05021 0.16601
173.00000 -0.04367 0.16906
174.00000 -0.03781 0.17095
175.00000 -0.03157 0.17226
176.00000 -0.02458 0.17385
177.00000 -0.01806 0.17520
178.00000 -0.01243 0.17616
179.00000 -0.00641 0.17626
180.00000 -0.00016 0.17522
181.00000 0.00577 0.17344
182.00000 0.01113 0.17002
183.00000 0.01601 0.16510
184.00000 0.02162 0.15986
185.00000 0.02733 0.15349
186.00000 0.03280 0.14603
187.00000 0.03766 0.13794
188.00000 0.04143 0.12830
189.00000 0.04514 0.11725
190.00000 0.04933 0.10605
191.00000 0.05352 0.09559
192.00000 0.05781 0.08508
193.00000 0.06179 0.07361
194.00000 0.06491 0.06171
195.00000 0.06734 0.04916
196.00000 0.06893 0.03652
197.00000 0.06982 0.02406
198.00000 0.07010 0.01177
199.00000 0.06989 0.00000
200.00000 0.00000
