# REMEMBER THAT  E[i] = E(z[i])  BUT  H[i] = H(z[i] + dz/2)
# z E H
0.00000 0.03523 0.03229
1.00000 0.02925 0.02632
2.00000 0.02316 0.02025
3.00000 0.01697 0.01409
4.00000 0.01071 0.00788
5.00000 0.00442 0.00164
6.00000 -0.00190 -0.00461
7.00000 -0.00820 -0.01084
8.00000 -0.01448 -0.01703
9.00000 -0.02070 -0.02315
10.00000 -0.02683 -0.02918
11.00000 -0.03286 -0.03510
12.00000 -0.03876 -0.04087
13.00000 -0.04451 -0.04649
14.00000 -0.05008 -0.05192
15.00000 -0.05545 -0.05714
16.00000 -0.06061 -0.06214
17.00000 -0.06552 -0.06690
18.00000 -0.07018 -0.07139
19.00000 -0.07456 -0.07560
20.00000 -0.07865 -0.07951
21.00000 -0.08242 -0.08311
22.00000 -0.08587 -0.08638
23.00000 -0.08898 -0.08931
24.00000 -0.09174 -0.09188
25.00000 -0.09414 -0.09410
26.00000 -0.09617 -0.09594
27.00000 -0.09782 -0.09740
28.00000 -0.09908 -0.09848
29.00000 -0.09995 -0.09917
30.00000 -0.10042 -0.09947
31.00000 -0.10050 -0.09938
32.00000 -0.10018 -0.09889
33.00000 -0.09947 -0.09802
34.00000 -0.09837 -0.09675
35.00000 -0.09687 -0.09511
36.00000 -0.09500 -0.09309
37.00000 -0.09275 -0.09070
38.00000 -0.09013 -0.08795
39.00000 -0.08716 -0.08486
40.00000 -0.08384 -0.08143
41.00000 -0.08019 -0.07769
42.00000 -0.07623 -0.07363
43.00000 -0.07196 -0.06928
44.00000 -0.06742 -0.06467
45.00000 -0.06260 -0.05979
46.00000 -0.05754 -0.05468
47.00000 -0.05225 -0.04935
48.00000 -0.04676 -0.04383
49.00000 -0.04108 -0.03814
50.00000 -0.03523 -0.03229
51.00000 -0.02925 -0.02632
52.00000 -0.02316 -0.02025
53.00000 -0.01697 -0.01409
54.00000 -0.01071 -0.00788
55.00000 -0.00442 -0.00164
56.00000 0.00190 0.00461
57.00000 0.00820 0.01084
58.00000 0.01448 0.01703
59.00000 0.02070 0.02315
60.00000 0.02683 0.02918
61.00000 0.03286 0.03510
62.00000 0.03876 0.04087
63.00000 0.04451 0.04649
64.00000 0.05008 0.05192
65.00000 0.05545 0.05714
66.00000 0.06061 0.06214
67.00000 0.06552 0.06690
68.00000 0.07018 0.07139
69.00000 0.07456 0.07560
70.00000 0.07865 0.07951
71.00000 0.08242 0.08311
72.00000 0.08587 0.08638
73.00000 0.08898 0.08931
74.00000 0.09174 0.09188
75.00000 0.09414 0.09410
76.00000 0.09617 0.09594
77.00000 0.09782 0.09740
78.00000 0.09908 0.09848
79.00000 0.09995 0.09917
80.00000 0.10042 0.09947
81.00000 0.10050 0.09938
82.00000 0.10018 0.09889
83.00000 0.09947 0.09802
84.00000 0.09837 0.09675
85.00000 0.09687 0.09511
86.00000 0.09500 0.09309
87.00000 0.09275 0.09070
88.00000 0.09013 0.08795
89.00000 0.08716 0.08486
90.00000 0.08384 0.08143
91.00000 0.08019 0.07769
92.00000 0.07623 0.07363
93.00000 0.07196 0.06928
94.00000 0.06742 0.06467
95.00000 0.06260 0.05979
96.00000 0.05754 0.05468
97.00000 0.05225 0.04935
98.00000 0.04676 0.04383
99.00000 0.04108 0.03814
100.00000 0.03523 0.03229
101.00000 0.02925 0.02632
102.00000 0.02316 0.02025
103.00000 0.01697 0.01409
104.00000 0.01071 0.00788
105.00000 0.00442 0.00164
106.00000 -0.00190 -0.00461
107.00000 -0.00820 -0.01084
108.00000 -0.01448 -0.01703
109.00000 -0.02070 -0.02315
110.00000 -0.02683 -0.02918
111.00000 -0.03286 -0.03510
112.00000 -0.03876 -0.04087
113.00000 -0.04451 -0.04649
114.00000 -0.05008 -0.05192
115.00000 -0.05545 -0.05714
116.00000 -0.06061 -0.06214
117.00000 -0.06552 -0.06690
118.00000 -0.07018 -0.07139
119.00000 -0.07456 -0.07560
120.00000 -0.07865 -0.07951
121.00000 -0.08242 -0.08311
122.00000 -0.08587 -0.08638
123.00000 -0.08898 -0.08931
124.00000 -0.09174 -0.09188
125.00000 -0.09414 -0.09410
126.00000 -0.09617 -0.09594
127.00000 -0.09782 -0.09740
128.00000 -0.09908 -0.09848
129.00000 -0.09995 -0.09917
130.00000 -0.10042 -0.09947
131.00000 -0.10050 -0.09938
132.00000 -0.10018 -0.09889
133.00000 -0.09947 -0.09802
134.00000 -0.09837 -0.09675
135.00000 -0.09687 -0.09511
136.00000 -0.09500 -0.09309
137.00000 -0.09275 -0.09070
138.00000 -0.09013 -0.08795
139.00000 -0.08716 -0.08486
140.00000 -0.08384 -0.08143
141.00000 -0.08019 -0.07769
142.00000 -0.07623 -0.07363
143.00000 -0.07196 -0.06928
144.00000 -0.06742 -0.06467
145.00000 -0.06260 -0.05979
146.00000 -0.05754 -0.05468
147.00000 -0.05225 -0.04935
148.00000 -0.04676 -0.04383
149.00000 -0.04108 -0.03814
150.00000 -0.03523 -0.03229
151.00000 -0.02925 -0.02632
152.00000 -0.02316 -0.02025
153.00000 -0.01697 -0.01409
154.00000 -0.01071 -0.00788
155.00000 -0.00442 -0.00164
156.00000 0.00190 0.00461
157.00000 0.00820 0.01084
158.00000 0.01448 0.01703
159.00000 0.02070 0.02315
160.00000 0.02683 0.02918
161.00000 0.03286 0.03510
162.00000 0.03876 0.04087
163.00000 0.04451 0.04649
164.00000 0.05008 0.05192
165.00000 0.05545 0.05714
166.00000 0.06061 0.06214
167.00000 0.06552 0.06690
168.00000 0.07018 0.07139
169.00000 0.07456 0.07560
170.00000 0.07865 0.07951
171.00000 0.08242 0.08311
172.00000 0.08587 0.08638
173.00000 0.08898 0.08931
174.00000 0.09174 0.09188
175.00000 0.09414 0.09410
176.00000 0.09617 0.09594
177.00000 0.09782 0.09740
178.00000 0.09908 0.09848
179.00000 0.09995 0.09917
180.00000 0.10042 0.09947
181.00000 0.10050 0.09938
182.00000 0.10018 0.09889
183.00000 0.09947 0.09802
184.00000 0.09837 0.09675
185.00000 0.09687 0.09511
186.00000 0.09500 0.09309
187.00000 0.09275 0.09070
188.00000 0.09013 0.08795
189.00000 0.08716 0.08486
190.00000 0.08384 0.08143
191.00000 0.08019 0.07769
192.00000 0.07623 0.07363
193.00000 0.07196 0.06928
194.00000 0.06742 0.06467
195.00000 0.06260 0.05979
196.00000 0.05754 0.05468
197.00000 0.05225 0.04935
198.00000 0.04676 0.04383
199.00000 0.04108 0.03814
200.00000 0.03523
