# REMEMBER THAT  E[i] = E(z[i])  BUT  H[i] = H(z[i] + dz/2)
# z E H
98.00000 0.00217 0.00371
98.50000 0.00530 0.00685
99.00000 0.00843 0.00998
99.50000 0.01155 0.01311
100.00000 0.01467 0.01622
100.50000 0.01776 0.01931
101.00000 0.02084 0.02239
101.50000 0.02390 0.02544
102.00000 0.02693 0.02847
102.50000 0.02994 0.03147
103.00000 0.03292 0.03444
103.50000 0.03587 0.03738
104.00000 0.03878 0.04028
104.50000 0.04165 0.04314
105.00000 0.04448 0.04595
105.50000 0.04727 0.04872
106.00000 0.05001 0.05145
106.50000 0.05270 0.05412
107.00000 0.05534 0.05674
107.50000 0.05792 0.05930
108.00000 0.06045 0.06181
108.50000 0.06292 0.06425
109.00000 0.06532 0.06663
109.50000 0.06767 0.06894
110.00000 0.06994 0.07119
110.50000 0.07215 0.07337
111.00000 0.07428 0.07547
111.50000 0.07634 0.07750
112.00000 0.07833 0.07945
112.50000 0.08023 0.08132
113.00000 0.08206 0.08312
113.50000 0.08381 0.08483
114.00000 0.08548 0.08646
114.50000 0.08706 0.08800
115.00000 0.08855 0.08946
115.50000 0.08996 0.09083
116.00000 0.09128 0.09210
116.50000 0.09251 0.09329
117.00000 0.09365 0.09439
117.50000 0.09469 0.09539
118.00000 0.09564 0.09629
118.50000 0.09650 0.09711
119.00000 0.09726 0.09782
119.50000 0.09793 0.09845
120.00000 0.09850 0.09897
120.50000 0.09897 0.09939
121.00000 0.09935 0.09972
121.50000 0.09962 0.09995
122.00000 0.09980 0.10008
122.50000 0.09988 0.10011
123.00000 0.09986 0.10005
123.50000 0.09975 0.09988
124.00000 0.09953 0.09961
124.50000 0.09922 0.09925
125.00000 0.09880 0.09879
125.50000 0.09829 0.09823
126.00000 0.09769 0.09758
126.50000 0.09699 0.09683
127.00000 0.09619 0.09598
127.50000 0.09529 0.09504
128.00000 0.09431 0.09400
128.50000 0.09322 0.09287
129.00000 0.09205 0.09165
