i,z,Ex,Hy
0,0,0,0
1,1,-83837.6,-167812
2,2,197320,233470
3,3,-201726,-189966
4,4,133935,105146
5,5,-61098.4,-39462.2
6,6,17755.5,8161.1
7,7,-1531.78,895.841
8,8,-1584.13,-1613.63
9,9,1103.51,809.774
10,10,-439.664,-277.466
11,11,131.362,74.683
12,12,-31.2823,-16.2214
13,13,6.57069,3.3449
14,14,-0.902841,-0.213687
15,15,0.321197,0.370541
16,16,0.100126,0.303261
17,17,0.0862702,0.319694
18,18,0.0443352,0.320336
19,19,0.00474178,0.317091
20,20,-0.0352362,0.308732
21,21,-0.07463,0.295514
22,22,-0.112849,0.277635
23,23,-0.149289,0.255377
24,24,-0.183374,0.229092
25,25,-0.214567,0.199194
26,26,-0.242376,0.166155
27,27,-0.266363,0.130495
28,28,-0.286149,0.0927778
29,29,-0.301422,0.0535969
30,30,-0.311942,0.0135709
31,31,-0.317542,-0.0266692
32,32,-0.318135,-0.0664887
33,33,-0.31371,-0.10526
34,34,-0.304338,-0.142371
35,35,-0.290166,-0.177236
36,36,-0.271418,-0.209307
37,37,-0.24839,-0.238077
38,38,-0.221445,-0.263091
39,39,-0.191007,-0.283958
40,40,-0.157557,-0.300345
41,41,-0.121622,-0.311996
42,42,-0.0837688,-0.318727
43,43,-0.044595,-0.320431
44,44,-0.00471745,-0.317082
45,45,0.035234,-0.308733
46,46,0.0746303,-0.295514
47,47,0.112849,-0.277635
48,48,0.149289,-0.255377
49,49,0.183374,-0.229092
50,50,0.214567,-0.199194
51,51,0.242376,-0.166155
52,52,0.266363,-0.130496
53,53,0.286149,-0.0927778
54,54,0.301422,-0.053597
55,55,0.311942,-0.0135709
56,56,0.317542,0.0266693
57,57,0.318135,0.0664887
58,58,0.31371,0.10526
59,59,0.304338,0.142371
60,60,0.290166,0.177236
61,61,0.271418,0.209307
62,62,0.24839,0.238076
63,63,0.221445,0.263092
64,64,0.191007,0.283957
65,65,0.157557,0.300346
66,66,0.121621,0.311996
67,67,0.0837697,0.318728
68,68,0.044594,0.32043
69,69,0.00471857,0.317083
70,70,-0.0352352,0.308731
71,71,-0.0746292,0.295515
72,72,-0.11285,0.277634
73,73,-0.149288,0.255378
74,74,-0.183374,0.229092
75,75,-0.214566,0.199195
76,76,-0.242376,0.166155
77,77,-0.266363,0.130496
78,78,-0.286149,0.0927777
79,79,-0.301422,0.053597
80,80,-0.311942,0.0135708
81,81,-0.317542,-0.0266692
82,82,-0.318135,-0.0664888
83,83,-0.31371,-0.10526
84,84,-0.304338,-0.142371
85,85,-0.290166,-0.177236
86,86,-0.271419,-0.209307
87,87,-0.24839,-0.238076
88,88,-0.221445,-0.263092
89,89,-0.191007,-0.283957
90,90,-0.157557,-0.300346
91,91,-0.121621,-0.311996
92,92,-0.0837697,-0.318728
93,93,-0.044594,-0.32043
94,94,-0.00471855,-0.317083
95,95,0.0352352,-0.308731
96,96,0.0746291,-0.295515
97,97,0.11285,-0.277634
98,98,0.149288,-0.255378
99,99,0.183375,-0.229091
100,100,0.214566,-0.199195
101,101,0.242377,-0.166155
102,102,0.266362,-0.130496
103,103,0.286149,-0.0927776
104,104,0.301422,-0.053597
105,105,0.311942,-0.0135709
106,106,0.317542,0.0266692
107,107,0.318135,0.0664887
108,108,0.31371,0.10526
109,109,0.304338,0.142371
110,110,0.290166,0.177236
111,111,0.271419,0.209307
112,112,0.24839,0.238076
113,113,0.221445,0.263092
114,114,0.191007,0.283957
115,115,0.157557,0.300346
116,116,0.121621,0.311996
117,117,0.0837694,0.318728
118,118,0.0445943,0.320431
119,119,0.0047183,0.317083
120,120,-0.035235,0.308732
121,121,-0.0746293,0.295515
122,122,-0.11285,0.277634
123,123,-0.149288,0.255378
124,124,-0.183375,0.229091
125,125,-0.214566,0.199195
126,126,-0.242377,0.166155
127,127,-0.266362,0.130496
128,128,-0.286149,0.0927777
129,129,-0.301422,0.0535969
130,130,-0.311942,0.013571
131,131,-0.317543,-0.0266693
132,132,-0.318135,-0.0664886
133,133,-0.31371,-0.10526
134,134,-0.304338,-0.14237
135,135,-0.290166,-0.177236
136,136,-0.271418,-0.209307
137,137,-0.24839,-0.238077
138,138,-0.221444,-0.263091
139,139,-0.191007,-0.283958
140,140,-0.157556,-0.300345
141,141,-0.121622,-0.311997
142,142,-0.0837683,-0.318726
143,143,-0.0445956,-0.320432
144,144,-0.00471682,-0.317081
145,145,0.0352333,-0.308733
146,146,0.074631,-0.295513
147,147,0.112849,-0.277636
148,148,0.149289,-0.255377
149,149,0.183373,-0.229093
150,150,0.214567,-0.199194
151,151,0.242376,-0.166155
152,152,0.266363,-0.130495
153,153,0.286149,-0.0927778
154,154,0.301422,-0.0535969
155,155,0.311942,-0.0135709
156,156,0.317542,0.0266693
157,157,0.318135,0.0664887
158,158,0.31371,0.10526
159,159,0.304338,0.14237
160,160,0.290166,0.177236
161,161,0.271418,0.209307
162,162,0.24839,0.238077
163,163,0.221444,0.263091
164,164,0.191007,0.283958
165,165,0.157556,0.300345
166,166,0.121622,0.311997
167,167,0.0837684,0.318726
168,168,0.0445955,0.320432
169,169,0.00471689,0.317081
170,170,-0.0352334,0.308733
171,171,-0.074631,0.295513
172,172,-0.112849,0.277636
173,173,-0.149289,0.255377
174,174,-0.183373,0.229093
175,175,-0.214567,0.199194
176,176,-0.242376,0.166155
177,177,-0.266363,0.130496
178,178,-0.286149,0.092777
179,179,-0.30142,0.0536077
180,180,-0.311974,0.0134398
181,181,-0.317173,-0.0252178
182,182,-0.322055,-0.0810241
183,183,-0.276163,0.0258863
184,184,-0.627594,-1.20354
185,185,2.19913,7.48485
186,186,-17.3281,-49.3083
187,187,103.151,277.341
188,188,-551.346,-1375.8
189,189,2565.03,5932.43
190,190,-10349.1,-22097.5
191,191,35890.6,70462.7
192,192,-106013,-190486
193,193,263885,431544
194,194,-546442,-807426
195,195,925232,1.2216e+06
196,196,-1.24648e+06,-1.43962e+06
197,197,1.2639e+06,1.20665e+06
198,198,-812910,-475424
199,199,0,0
