i,z,Ex,Hy
0,0,0,0
1,1,-1.31698e+06,-2.67341e+06
2,2,3.20925e+06,3.91754e+06
3,3,-3.52099e+06,-3.48406e+06
4,4,2.6123e+06,2.20554e+06
5,5,-1.4087e+06,-1.02035e+06
6,6,545922,326473
7,7,-131719,-50206.3
8,8,499.768,-16355.1
9,9,17992.1,16516.8
10,10,-10726,-7714.39
11,11,4155.19,2627.85
12,12,-1251.74,-721.08
13,13,312.136,166.791
14,14,-65.9544,-32.719
15,15,12.3703,6.09553
16,16,-1.83047,-0.503847
17,17,0.378383,0.503869
18,18,0.0115729,0.371989
19,19,0.00393868,0.385006
20,20,-0.0488558,0.373874
21,21,-0.0957729,0.358805
22,22,-0.141703,0.337886
23,23,-0.185351,0.311654
24,24,-0.226078,0.280508
25,25,-0.263242,0.244935
26,26,-0.296251,0.205503
27,27,-0.324592,0.162826
28,28,-0.34781,0.117585
29,29,-0.365546,0.0704865
30,30,-0.377514,0.022279
31,31,-0.383532,-0.0262819
32,32,-0.383499,-0.0744272
33,33,-0.377419,-0.121399
34,34,-0.365386,-0.166456
35,35,-0.347591,-0.208889
36,36,-0.324314,-0.248026
37,37,-0.295924,-0.283254
38,38,-0.262864,-0.31401
39,39,-0.225664,-0.339821
40,40,-0.184897,-0.360265
41,41,-0.141223,-0.375036
42,42,-0.0953133,-0.383883
43,43,-0.047909,-0.386686
44,44,0.000259825,-0.38338
45,45,0.048415,-0.374039
46,46,0.0958169,-0.358788
47,47,0.141698,-0.337889
48,48,0.185352,-0.311653
49,49,0.226078,-0.280507
50,50,0.26324,-0.244937
51,51,0.296253,-0.205501
52,52,0.32459,-0.162828
53,53,0.347811,-0.117584
54,54,0.365545,-0.0704874
55,55,0.377515,-0.0222787
56,56,0.383532,0.0262822
57,57,0.383498,0.0744263
58,58,0.377419,0.1214
59,59,0.365385,0.166456
60,60,0.347592,0.208889
61,61,0.324315,0.248027
62,62,0.295922,0.28325
63,63,0.262869,0.314017
64,64,0.225656,0.339812
65,65,0.184908,0.360278
66,66,0.141209,0.375019
67,67,0.0953304,0.383903
68,68,0.0478891,0.386662
69,69,-0.000237921,0.383405
70,70,-0.0484379,0.374014
71,71,-0.0957943,0.358812
72,72,-0.141719,0.337867
73,73,-0.185334,0.311671
74,74,-0.226092,0.280493
75,75,-0.26323,0.244946
76,76,-0.29626,0.205495
77,77,-0.324586,0.162831
78,78,-0.347814,0.117582
79,79,-0.365543,0.0704888
80,80,-0.377516,0.0222774
81,81,-0.38353,-0.0262808
82,82,-0.3835,-0.0744279
83,83,-0.377418,-0.121398
84,84,-0.365387,-0.166457
85,85,-0.347591,-0.208888
86,86,-0.324316,-0.248028
87,87,-0.295921,-0.28325
88,88,-0.262869,-0.314017
89,89,-0.225656,-0.339811
90,90,-0.184908,-0.360278
91,91,-0.141209,-0.375019
92,92,-0.0953303,-0.383903
93,93,-0.0478895,-0.386663
94,94,0.000238198,-0.383405
95,95,0.0484379,-0.374013
96,96,0.0957937,-0.358813
97,97,0.14172,-0.337865
98,98,0.185332,-0.311675
99,99,0.226096,-0.28049
100,100,0.263227,-0.24495
101,101,0.296263,-0.205492
102,102,0.324583,-0.162834
103,103,0.347815,-0.117581
104,104,0.365543,-0.0704889
105,105,0.377516,-0.0222781
106,106,0.383531,0.0262819
107,107,0.383498,0.0744267
108,108,0.377419,0.121399
109,109,0.365386,0.166456
110,110,0.347591,0.208888
111,111,0.324316,0.248028
112,112,0.295921,0.28325
113,113,0.262869,0.314017
114,114,0.225657,0.339813
115,115,0.184906,0.360276
116,116,0.141212,0.375023
117,117,0.0953262,0.383898
118,118,0.0478942,0.386668
119,119,-0.000242906,0.3834
120,120,-0.0484342,0.374017
121,121,-0.0957958,0.358812
122,122,-0.14172,0.337864
123,123,-0.18533,0.311677
124,124,-0.226098,0.280486
125,125,-0.263224,0.244953
126,126,-0.296265,0.20549
127,127,-0.324583,0.162833
128,128,-0.347814,0.117583
129,129,-0.365545,0.0704861
130,130,-0.377513,0.0222806
131,131,-0.383533,-0.0262839
132,132,-0.383497,-0.074425
133,133,-0.377421,-0.121401
134,134,-0.365384,-0.166454
135,135,-0.347593,-0.208891
136,136,-0.324312,-0.248023
137,137,-0.295927,-0.283257
138,138,-0.262861,-0.314006
139,139,-0.225668,-0.339827
140,140,-0.184892,-0.360258
141,141,-0.141231,-0.375045
142,142,-0.095304,-0.383872
143,143,-0.0479202,-0.386699
144,144,0.000272224,-0.383366
145,145,0.0484021,-0.374053
146,146,0.0958296,-0.358774
147,147,0.141686,-0.337901
148,148,0.185362,-0.311644
149,149,0.226071,-0.280513
150,150,0.263245,-0.244933
151,151,0.296251,-0.205502
152,152,0.32459,-0.162828
153,153,0.347811,-0.117584
154,154,0.365545,-0.070487
155,155,0.377515,-0.0222791
156,156,0.383532,0.0262826
157,157,0.383498,0.0744258
158,158,0.37742,0.121401
159,159,0.365384,0.166454
160,160,0.347594,0.208891
161,161,0.324312,0.248023
162,162,0.295927,0.283257
163,163,0.262861,0.314007
164,164,0.225667,0.339826
165,165,0.184893,0.360259
166,166,0.141229,0.375044
167,167,0.0953055,0.383873
168,168,0.0479186,0.386697
169,169,-0.000270883,0.383367
170,170,-0.0484031,0.374052
171,171,-0.095829,0.358775
172,172,-0.141686,0.337901
173,173,-0.185362,0.311644
174,174,-0.226071,0.280513
175,175,-0.263245,0.244933
176,176,-0.296251,0.205501
177,177,-0.324586,0.162846
178,178,-0.347866,0.117357
179,179,-0.36491,0.072957
180,180,-0.384148,-0.0022255
181,181,-0.320284,0.195284
182,182,-0.932166,-1.89415
183,183,3.93724,13.4025
184,184,-31.0012,-90.7386
185,185,195.22,543.997
186,186,-1117.54,-2919.9
187,187,5682.85,13914
188,188,-25604.8,-58579.3
189,189,101577,216545
190,190,-352593,-698267
191,191,1.06348e+06,1.94977e+06
192,192,-2.76544e+06,-4.67533e+06
193,193,6.14363e+06,9.53131e+06
194,194,-1.15285e+07,-1.63036e+07
195,195,1.79849e+07,2.2939e+07
196,196,-2.2722e+07,-2.55937e+07
197,197,2.20052e+07,2.06847e+07
198,198,-1.37698e+07,-8.0033e+06
199,199,0,0
