t_index,z,Ex,Hy
0,105,0.0587785,0.0637424
0,106,0.0684547,0.0728969
0,107,0.0770513,0.0809017
0,108,0.0844328,0.0876307
0,109,0.0904827,0.0929776
0,110,0.0951057,0.0968583
0,111,0.0982287,0.0992115
0,112,0.0998027,0.1
0,113,0.0998027,0.0992115
0,114,0.0982287,0.0968583
0,115,0.0951057,0.0929776
0,116,0.0904827,0.0876307
0,117,0.0844328,0.0809017
0,118,0.0770513,0.0728969
0,119,0.0684547,0.0637424
0,120,0.0587785,0.0535827
0,121,0.0481754,0.0425779
0,122,0.0368125,0.0309017
0,123,0.024869,0.0187381
0,124,0.0125333,0.00627905
0,125,2.38868e-16,-0.00627905
0,126,-0.0125333,-0.0187381
0,127,-0.024869,-0.0309017
0,128,-0.0368125,-0.0425779
0,129,-0.0481754,-0.0535827
0,130,-0.0587785,-0.0637424
0,131,-0.0684547,-0.0728969
0,132,-0.0770513,-0.0809017
0,133,-0.0844328,-0.0876307
0,134,-0.0904827,-0.0929776
0,135,-0.0951057,-0.0968583
0,136,-0.0982287,-0.0992115
0,137,-0.0998027,-0.1
0,138,-0.0998027,-0.0992115
0,139,-0.0982287,-0.0968583
0,140,-0.0951057,-0.0929776
0,141,-0.0904827,-0.0876307
0,142,-0.0844328,-0.0809017
0,143,-0.0770513,-0.0728969
0,144,-0.0684547,-0.0637424
0,145,-0.0587785,-0.0535827
0,146,-0.0481754,-0.0425779
0,147,-0.0368125,-0.0309017
0,148,-0.024869,-0.0187381
0,149,-0.0125333,-0.00627905
0,150,-7.34788e-17,0.00627905
0,151,0.0125333,0.0187381
0,152,0.024869,0.0309017
0,153,0.0368125,0.0425779
0,154,0.0481754,0.0535827
0,155,0.0587785,0.0637424
0,156,0.0684547,0.0728969
0,157,0.0770513,0.0809017
0,158,0.0844328,0.0876307
0,159,0.0904827,0.0929776
0,160,0.0951057,0.0968583
0,161,0.0982287,0.0992115
0,162,0.0998027,0.1
0,163,0.0998027,0.0992115
0,164,0.0982287,0.0968583
0,165,0.0951057,0.0929776
0,166,0.0904827,0.0876307
0,167,0.0844328,0.0809017
0,168,0.0770513,0.0728969
0,169,0.0684547,0.0637424
0,170,0.0587785,0.0535827
0,171,0.0481754,0.0425779
0,172,0.0368125,0.0309017
0,173,0.024869,0.0187381
0,174,0.0125333,0.00627905
0,175,4.40997e-16,-0.00627905
0,176,-0.0125333,-0.0187381
0,177,-0.024869,-0.0309017
0,178,-0.0368125,-0.0425779
0,179,-0.0481754,-0.0535827
0,180,-0.0587785,-0.0637424
0,181,-0.0684547,-0.0728969
0,182,-0.0770513,-0.0809017
0,183,-0.0844328,-0.0876307
0,184,-0.0904827,-0.0929776
0,185,-0.0951057,-0.0968583
0,186,-0.0982287,-0.0992115
0,187,-0.0998027,-0.1
0,188,-0.0998027,-0.0992115
0,189,-0.0982287,-0.0968583
0,190,-0.0951057,-0.0929776
0,191,-0.0904827,-0.0876307
0,192,-0.0844328,-0.0809017
0,193,-0.0770513,-0.0728969
0,194,-0.0684547,-0.0637424
0,195,-0.0587785,-0.0535827
0,196,-0.0481754,-0.0425779
0,197,-0.0368125,-0.0309017
0,198,-0.024869,-0.0187381
0,199,-0.0125333,-0.00627905
10,0,0.0869566,0.0830609
10,1,0.0811182,0.0743022
10,2,0.0740004,0.064372
10,3,0.0657156,0.0534264
10,4,0.0563944,0.0416384
10,5,0.0461839,0.0291937
10,6,0.0352449,0.0162886
10,7,0.0237502,0.00312652
10,8,0.0118809,-0.0100848
10,9,-0.000175737,-0.0231371
10,10,-0.0122296,-0.0358244
10,11,-0.0240907,-0.0479469
10,12,-0.0355718,-0.0593131
10,13,-0.0464919,-0.069744
10,14,-0.0566788,-0.079075
10,15,-0.0659718,-0.0871588
10,16,-0.0742244,-0.0938682
10,17,-0.0813065,-0.0990972
10,18,-0.0871063,-0.102763
10,19,-0.0915324,-0.104809
10,20,-0.094515,-0.105202
10,21,-0.096007,-0.103935
10,22,-0.095985,-0.101029
10,23,-0.0944491,-0.0965306
10,24,-0.0914238,-0.0905094
10,25,-0.0869567,-0.0830608
10,26,-0.0811182,-0.0743023
10,27,-0.0740004,-0.064372
10,28,-0.0657156,-0.0534265
10,29,-0.0563944,-0.0416384
10,30,-0.0461839,-0.0291937
10,31,-0.0352449,-0.0162885
10,32,-0.0237502,-0.00312653
10,33,-0.0118809,0.0100848
10,34,0.000175743,0.023137
10,35,0.0122296,0.0358244
10,36,0.0240907,0.0479468
10,37,0.0355717,0.0593131
10,38,0.0464919,0.069744
10,39,0.0566788,0.0790749
10,40,0.0659718,0.0871588
10,41,0.0742245,0.0938682
10,42,0.0813065,0.0990972
10,43,0.0871063,0.102763
10,44,0.0915324,0.104809
10,45,0.094515,0.105201
10,46,0.096007,0.103935
10,47,0.095985,0.101029
10,48,0.0944492,0.0965306
10,49,0.0914238,0.0905094
10,50,0.0869567,0.0830607
10,51,0.0811182,0.0743023
10,52,0.0740004,0.0643719
10,53,0.0657156,0.0534265
10,54,0.0563944,0.0416383
10,55,0.0461838,0.0291937
10,56,0.035245,0.0162885
10,57,0.0237502,0.00312658
10,58,0.0118809,-0.0100848
10,59,-0.000175748,-0.023137
10,60,-0.0122296,-0.0358244
10,61,-0.0240907,-0.0479468
10,62,-0.0355717,-0.0593131
10,63,-0.0464919,-0.0697439
10,64,-0.0566788,-0.079075
10,65,-0.0659718,-0.0871588
10,66,-0.0742244,-0.0938682
10,67,-0.0813065,-0.0990971
10,68,-0.0871063,-0.102763
10,69,-0.0915324,-0.104809
10,70,-0.094515,-0.105201
10,71,-0.096007,-0.103935
10,72,-0.095985,-0.101029
10,73,-0.0944491,-0.0965307
10,74,-0.0914238,-0.0905094
10,75,-0.0869567,-0.0830608
10,76,-0.0811182,-0.0743022
10,77,-0.0740004,-0.064372
10,78,-0.0657156,-0.0534264
10,79,-0.0563944,-0.0416385
10,80,-0.0461839,-0.0291936
10,81,-0.0352449,-0.0162887
10,82,-0.0237503,-0.00312641
10,83,-0.0118809,0.0100847
10,84,0.000175707,0.0231371
10,85,0.0122297,0.0358244
10,86,0.0240906,0.0479469
10,87,0.0355718,0.0593131
10,88,0.0464919,0.069744
10,89,0.0566788,0.0790749
10,90,0.0659718,0.0871588
10,91,0.0742244,0.0938682
10,92,0.0813065,0.0990972
10,93,0.0871063,0.102763
10,94,0.0915324,0.104809
10,95,0.094515,0.105202
10,96,0.0960071,0.103935
10,97,0.0959849,0.10103
10,98,0.0944492,0.0965305
10,99,0.0914238,0.0905095
10,100,0.0869567,0.0830607
10,101,0.0811182,0.0743023
10,102,0.0740004,0.064372
10,103,0.0657156,0.0534264
10,104,0.0563944,0.0416385
10,105,0.0461839,0.0291936
10,106,0.0352449,0.0162886
10,107,0.0237502,0.00312647
10,108,0.0118809,-0.0100847
10,109,-0.000175732,-0.0231371
10,110,-0.0122296,-0.0358244
10,111,-0.0240906,-0.0479469
10,112,-0.0355718,-0.0593131
10,113,-0.0464919,-0.069744
10,114,-0.0566788,-0.0790749
10,115,-0.0659718,-0.0871588
10,116,-0.0742244,-0.0938682
10,117,-0.0813065,-0.0990971
10,118,-0.0871063,-0.102763
10,119,-0.0915324,-0.104809
10,120,-0.094515,-0.105202
10,121,-0.096007,-0.103935
10,122,-0.095985,-0.101029
10,123,-0.0944491,-0.0965307
10,124,-0.0914238,-0.0905093
10,125,-0.0869566,-0.0830609
10,126,-0.0811182,-0.0743022
10,127,-0.0740004,-0.0643721
10,128,-0.0657156,-0.0534264
10,129,-0.0563944,-0.0416385
10,130,-0.0461839,-0.0291936
10,131,-0.0352449,-0.0162886
10,132,-0.0237502,-0.00312649
10,133,-0.0118809,0.0100848
10,134,0.00017574,0.023137
10,135,0.0122296,0.0358245
10,136,0.0240907,0.0479468
10,137,0.0355717,0.0593132
10,138,0.0464919,0.0697439
10,139,0.0566788,0.079075
10,140,0.0659718,0.0871588
10,141,0.0742244,0.0938682
10,142,0.0813065,0.0990971
10,143,0.0871063,0.102763
10,144,0.0915325,0.104809
10,145,0.094515,0.105202
10,146,0.0960071,0.103935
10,147,0.0959849,0.10103
10,148,0.0944492,0.0965305
10,149,0.0914238,0.0905094
10,150,0.0869567,0.0830608
10,151,0.0811182,0.0743022
10,152,0.0740004,0.064372
10,153,0.0657156,0.0534264
10,154,0.0563944,0.0416384
10,155,0.0461839,0.0291937
10,156,0.035245,0.0162885
10,157,0.0237502,0.00312658
10,158,0.0118809,-0.0100848
10,159,-0.000175752,-0.023137
10,160,-0.0122296,-0.0358244
