# Coeficientes FIR
6.23687e-19
0.00119497
0.00273108
0.00409819
0.00379426
-2.31292e-18
-0.00790467
-0.0177984
-0.0243611
-0.0204342
5.78923e-18
0.0384284
0.0897121
0.142616
0.183151
0.199528
0.186656
0.148172
0.0950776
0.0415838
6.40502e-18
-0.0231559
-0.0283399
-0.021316
-0.0097778
-2.96438e-18
0.00504614
0.00562764
0.00378294
0.00156734
6.97097e-19
-0.000935489

# Frecuencia (Hz)	Magnitud (dB)
162.75	-53.7639
162.875	-53.7316
163	-53.7024
163.125	-53.6763
163.25	-53.6531
163.375	-53.6328
163.5	-53.6153
163.625	-53.6006
163.75	-53.5885
163.875	-53.579
164	-53.572
164.125	-53.5674
164.25	-53.5652
164.375	-53.5654
164.5	-53.5678
164.625	-53.5724
164.75	-53.5792
164.875	-53.5881
165	-53.5991
165.125	-53.612
165.25	-53.627
165.375	-53.6438
165.5	-53.6625
165.625	-53.6831
165.75	-53.7054
165.875	-53.7295
166	-53.7553
166.125	-53.7827
166.25	-53.8118
166.375	-53.8425
166.5	-53.8748
166.625	-53.9085
166.75	-53.9438
166.875	-53.9806
167	-54.0187
167.125	-54.0583
167.25	-54.0992
167.375	-54.1415
167.5	-54.185
167.625	-54.2299
167.75	-54.276
167.875	-54.3232
168	-54.3717
168.125	-54.4214
168.25	-54.4721
168.375	-54.524
168.5	-54.5769
168.625	-54.6308
168.75	-54.6858
168.875	-54.7418
169	-54.7987
169.125	-54.8565
169.25	-54.9153
169.375	-54.9749
169.5	-55.0354
169.625	-55.0966
169.75	-55.1587
169.875	-55.2215
170	-55.2851
170.125	-55.3494
170.25	-55.4143
170.375	-55.4799
170.5	-55.5461
170.625	-55.6129
170.75	-55.6802
170.875	-55.7481
171	-55.8165
171.125	-55.8853
171.25	-55.9546
171.375	-56.0243
171.5	-56.0944
171.625	-56.1648
171.75	-56.2356
171.875	-56.3066
172	-56.378
172.125	-56.4495
172.25	-56.5212
172.375	-56.5931
172.5	-56.6652
172.625	-56.7373
172.75	-56.8095
172.875	-56.8818
173	-56.9541
173.125	-57.0263
173.25	-57.0985
173.375	-57.1706
173.5	-57.2426
173.625	-57.3145
173.75	-57.3862
173.875	-57.4577
174	-57.5289
174.125	-57.5999
174.25	-57.6706
174.375	-57.741
174.5	-57.811
174.625	-57.8806
174.75	-57.9499
174.875	-58.0187
175	-58.087
175.125	-58.1548
175.25	-58.2222
175.375	-58.289
175.5	-58.3552
175.625	-58.4209
175.75	-58.4859
175.875	-58.5504
176	-58.6141
176.125	-58.6772
176.25	-58.7397
176.375	-58.8014
176.5	-58.8624
176.625	-58.9227
176.75	-58.9822
176.875	-59.0409
177	-59.0989
177.125	-59.1561
177.25	-59.2125
177.375	-59.2681
177.5	-59.3229
177.625	-59.3769
177.75	-59.43
177.875	-59.4823
178	-59.5338
178.125	-59.5844
178.25	-59.6342
178.375	-59.6832
178.5	-59.7313
178.625	-59.7786
178.75	-59.8251
178.875	-59.8707
179	-59.9155
179.125	-59.9595
179.25	-60.0027
179.375	-60.045
179.5	-60.0866
179.625	-60.1274
179.75	-60.1673
179.875	-60.2065
180	-60.245
180.125	-60.2826
180.25	-60.3196
180.375	-60.3558
180.5	-60.3912
180.625	-60.426
180.75	-60.46
180.875	-60.4934
181	-60.5261
181.125	-60.558
181.25	-60.5894
181.375	-60.6201
181.5	-60.6501
181.625	-60.6796
181.75	-60.7084
181.875	-60.7366
182	-60.7642
182.125	-60.7912
182.25	-60.8177
182.375	-60.8436
182.5	-60.8689
182.625	-60.8937
182.75	-60.918
182.875	-60.9417
183	-60.9649
183.125	-60.9876
183.25	-61.0098
183.375	-61.0315
183.5	-61.0528
183.625	-61.0735
183.75	-61.0937
183.875	-61.1135
184	-61.1328
184.125	-61.1517
184.25	-61.1701
184.375	-61.188
184.5	-61.2055
184.625	-61.2225
184.75	-61.2391
184.875	-61.2552
185	-61.2709
185.125	-61.2862
185.25	-61.301
185.375	-61.3154
185.5	-61.3293
185.625	-61.3428
185.75	-61.3559
185.875	-61.3686
186	-61.3808
186.125	-61.3925
186.25	-61.4039
186.375	-61.4148
186.5	-61.4253
186.625	-61.4353
186.75	-61.445
186.875	-61.4542
187	-61.4629
187.125	-61.4713
187.25	-61.4792
187.375	-61.4866
187.5	-61.4937
187.625	-61.5003
187.75	-61.5065
187.875	-61.5123
188	-61.5177
188.125	-61.5226
188.25	-61.5272
188.375	-61.5313
188.5	-61.535
188.625	-61.5383
188.75	-61.5412
188.875	-61.5438
189	-61.5459
189.125	-61.5476
189.25	-61.549
189.375	-61.55
189.5	-61.5506
189.625	-61.5509
189.75	-61.5509
189.875	-61.5504
190	-61.5497
190.125	-61.5486
190.25	-61.5472
190.375	-61.5455
190.5	-61.5436
190.625	-61.5413
190.75	-61.5388
190.875	-61.536
191	-61.5329
191.125	-61.5296
191.25	-61.5261
191.375	-61.5224
191.5	-61.5185
191.625	-61.5144
191.75	-61.5101
191.875	-61.5057
192	-61.5012
192.125	-61.4965
192.25	-61.4917
192.375	-61.4868
192.5	-61.4819
192.625	-61.4769
192.75	-61.4718
192.875	-61.4667
193	-61.4616
193.125	-61.4566
193.25	-61.4515
193.375	-61.4465
193.5	-61.4415
193.625	-61.4366
193.75	-61.4318
193.875	-61.4272
194	-61.4226
194.125	-61.4182
194.25	-61.414
194.375	-61.4099
194.5	-61.406
194.625	-61.4024
194.75	-61.399
194.875	-61.3958
195	-61.3929
195.125	-61.3903
195.25	-61.388
195.375	-61.3861
195.5	-61.3844
195.625	-61.3831
195.75	-61.3822
195.875	-61.3817
196	-61.3816
196.125	-61.3819
196.25	-61.3826
196.375	-61.3838
196.5	-61.3855
196.625	-61.3876
196.75	-61.3903
196.875	-61.3935
197	-61.3972
197.125	-61.4014
197.25	-61.4062
197.375	-61.4116
197.5	-61.4176
197.625	-61.4242
197.75	-61.4314
197.875	-61.4393
198	-61.4478
198.125	-61.4569
198.25	-61.4668
198.375	-61.4773
198.5	-61.4885
198.625	-61.5005
198.75	-61.5131
198.875	-61.5265
199	-61.5407
199.125	-61.5556
199.25	-61.5714
199.375	-61.5879
199.5	-61.6052
199.625	-61.6233
199.75	-61.6422
199.875	-61.662
200	-61.6826
200.125	-61.7041
200.25	-61.7264
200.375	-61.7496
200.5	-61.7737
200.625	-61.7987
200.75	-61.8246
200.875	-61.8514
201	-61.8791
201.125	-61.9077
201.25	-61.9373
201.375	-61.9678
201.5	-61.9993
201.625	-62.0317
201.75	-62.0651
201.875	-62.0994
202	-62.1347
202.125	-62.171
202.25	-62.2083
202.375	-62.2466
202.5	-62.2858
202.625	-62.3261
202.75	-62.3673
202.875	-62.4096
203	-62.4528
203.125	-62.497
203.25	-62.5422
203.375	-62.5884
203.5	-62.6356
203.625	-62.6838
203.75	-62.733
203.875	-62.7831
204	-62.8343
204.125	-62.8863
204.25	-62.9394
204.375	-62.9933
204.5	-63.0482
204.625	-63.104
204.75	-63.1607
204.875	-63.2183
205	-63.2767
205.125	-63.336
205.25	-63.3961
205.375	-63.457
205.5	-63.5186
205.625	-63.581
205.75	-63.6441
205.875	-63.7078
206	-63.7721
206.125	-63.837
206.25	-63.9024
206.375	-63.9684
206.5	-64.0347
206.625	-64.1014
206.75	-64.1684
206.875	-64.2356
207	-64.303
207.125	-64.3705
207.25	-64.438
207.375	-64.5054
207.5	-64.5727
207.625	-64.6397
207.75	-64.7063
207.875	-64.7725
208	-64.8381
208.125	-64.903
208.25	-64.967
208.375	-65.0302
208.5	-65.0923
208.625	-65.1531
208.75	-65.2127
208.875	-65.2707
209	-65.3271
209.125	-65.3817
209.25	-65.4344
209.375	-65.4849
209.5	-65.5332
209.625	-65.5791
209.75	-65.6224
209.875	-65.663
210	-65.7008
210.125	-65.7354
210.25	-65.7669
210.375	-65.7951
210.5	-65.8199
210.625	-65.8411
210.75	-65.8585
210.875	-65.8722
211	-65.882
211.125	-65.8878
211.25	-65.8896
211.375	-65.8872
211.5	-65.8807
211.625	-65.8701
211.75	-65.8552
211.875	-65.8361
212	-65.8129
212.125	-65.7855
212.25	-65.754
212.375	-65.7185
212.5	-65.679
212.625	-65.6356
212.75	-65.5884
212.875	-65.5376
213	-65.4832
213.125	-65.4254
213.25	-65.3642
213.375	-65.2999
213.5	-65.2326
213.625	-65.1625
213.75	-65.0896
213.875	-65.0142
214	-64.9364
214.125	-64.8564
214.25	-64.7743
214.375	-64.6902
214.5	-64.6044
214.625	-64.517
214.75	-64.4282
214.875	-64.338
215	-64.2466
215.125	-64.1542
215.25	-64.0609
215.375	-63.9667
215.5	-63.872
215.625	-63.7766
215.75	-63.6808
215.875	-63.5847
216	-63.4884
216.125	-63.3919
216.25	-63.2954
216.375	-63.1989
216.5	-63.1026
216.625	-63.0064
216.75	-62.9105
216.875	-62.8149
217	-62.7198
217.125	-62.6251
217.25	-62.5309
217.375	-62.4373
217.5	-62.3442
217.625	-62.2519
217.75	-62.1602
217.875	-62.0693
218	-61.9791
218.125	-61.8898
218.25	-61.8013
218.375	-61.7136
218.5	-61.6269
218.625	-61.541
218.75	-61.4561
218.875	-61.3722
219	-61.2892
219.125	-61.2072
219.25	-61.1262
219.375	-61.0462
219.5	-60.9673
219.625	-60.8894
219.75	-60.8126
219.875	-60.7368
220	-60.6621
220.125	-60.5885
220.25	-60.5159
220.375	-60.4445
220.5	-60.3741
220.625	-60.3049
220.75	-60.2367
220.875	-60.1697
221	-60.1037
221.125	-60.0389
221.25	-59.9751
221.375	-59.9125
221.5	-59.851
221.625	-59.7906
221.75	-59.7313
221.875	-59.6731
222	-59.6161
222.125	-59.5601
222.25	-59.5053
222.375	-59.4516
222.5	-59.3989
222.625	-59.3474
222.75	-59.297
222.875	-59.2477
223	-59.1995
223.125	-59.1524
223.25	-59.1063
223.375	-59.0614
223.5	-59.0176
223.625	-58.9748
223.75	-58.9332
223.875	-58.8926
224	-58.8532
224.125	-58.8148
224.25	-58.7775
224.375	-58.7412
224.5	-58.7061
224.625	-58.672
224.75	-58.639
224.875	-58.6071
225	-58.5762
225.125	-58.5464
225.25	-58.5177
225.375	-58.49
225.5	-58.4634
225.625	-58.4379
225.75	-58.4134
225.875	-58.39
226	-58.3677
226.125	-58.3464
226.25	-58.3262
226.375	-58.307
226.5	-58.2889
226.625	-58.2718
226.75	-58.2558
226.875	-58.2408
227	-58.2269
227.125	-58.2141
227.25	-58.2023
227.375	-58.1916
227.5	-58.1819
227.625	-58.1733
227.75	-58.1657
227.875	-58.1592
228	-58.1537
228.125	-58.1493
228.25	-58.146
228.375	-58.1437
228.5	-58.1425
228.625	-58.1423
228.75	-58.1432
228.875	-58.1452
229	-58.1482
229.125	-58.1523
229.25	-58.1575
229.375	-58.1638
229.5	-58.1711
229.625	-58.1795
229.75	-58.189
229.875	-58.1996
230	-58.2112
230.125	-58.224
230.25	-58.2378
230.375	-58.2528
230.5	-58.2688
230.625	-58.286
230.75	-58.3042
230.875	-58.3236
231	-58.3441
231.125	-58.3657
231.25	-58.3884
231.375	-58.4123
231.5	-58.4373
231.625	-58.4634
231.75	-58.4907
231.875	-58.5191
232	-58.5487
232.125	-58.5794
232.25	-58.6114
232.375	-58.6444
232.5	-58.6787
232.625	-58.7142
232.75	-58.7508
232.875	-58.7886
233	-58.8277
233.125	-58.868
233.25	-58.9094
233.375	-58.9521
233.5	-58.9961
233.625	-59.0413
233.75	-59.0877
233.875	-59.1354
234	-59.1843
234.125	-59.2346
234.25	-59.2861
234.375	-59.3389
234.5	-59.3929
234.625	-59.4483
234.75	-59.5051
234.875	-59.5631
235	-59.6225
235.125	-59.6832
235.25	-59.7452
235.375	-59.8086
235.5	-59.8734
235.625	-59.9395
235.75	-60.007
235.875	-60.0759
236	-60.1463
236.125	-60.218
236.25	-60.2911
236.375	-60.3656
236.5	-60.4416
236.625	-60.519
236.75	-60.5978
236.875	-60.6781
237	-60.7598
237.125	-60.8429
237.25	-60.9275
237.375	-61.0136
237.5	-61.1011
237.625	-61.1901
237.75	-61.2805
237.875	-61.3724
238	-61.4657
238.125	-61.5604
238.25	-61.6566
238.375	-61.7541
238.5	-61.8531
238.625	-61.9535
238.75	-62.0552
238.875	-62.1583
239	-62.2627
239.125	-62.3684
239.25	-62.4753
239.375	-62.5835
239.5	-62.6928
239.625	-62.8033
239.75	-62.9148
239.875	-63.0273
240	-63.1408
240.125	-63.2551
240.25	-63.3702
240.375	-63.486
240.5	-63.6023
240.625	-63.7192
240.75	-63.8364
240.875	-63.9537
241	-64.0712
241.125	-64.1886
241.25	-64.3057
241.375	-64.4223
241.5	-64.5383
241.625	-64.6534
241.75	-64.7675
241.875	-64.8802
242	-64.9913
242.125	-65.1005
242.25	-65.2076
242.375	-65.3122
242.5	-65.414
242.625	-65.5127
242.75	-65.608
242.875	-65.6996
243	-65.7869
243.125	-65.8699
243.25	-65.948
243.375	-66.0209
243.5	-66.0884
243.625	-66.15
243.75	-66.2055
243.875	-66.2546
244	-66.2971
244.125	-66.3327
244.25	-66.3611
244.375	-66.3824
244.5	-66.3962
244.625	-66.4026
244.75	-66.4015
244.875	-66.393
245	-66.377
245.125	-66.3536
245.25	-66.3231
245.375	-66.2855
245.5	-66.2411
245.625	-66.1901
245.75	-66.1327
245.875	-66.0693
246	-66.0002
246.125	-65.9257
246.25	-65.8461
246.375	-65.7617
246.5	-65.673
246.625	-65.5803
246.75	-65.4838
246.875	-65.384
247	-65.2812
247.125	-65.1758
247.25	-65.0679
247.375	-64.9579
247.5	-64.8462
247.625	-64.7329
247.75	-64.6183
247.875	-64.5028
248	-64.3864
248.125	-64.2694
248.25	-64.152
248.375	-64.0344
248.5	-63.9167
248.625	-63.7992
248.75	-63.6819
248.875	-63.565
249	-63.4486
249.125	-63.3328
249.25	-63.2177
249.375	-63.1034
249.5	-62.99
249.625	-62.8775
249.75	-62.7661
249.875	-62.6558
250	-62.5466
250.125	-62.4385
250.25	-62.3318
250.375	-62.2262
250.5	-62.122
250.625	-62.0191
250.75	-61.9176
250.875	-61.8174
251	-61.7187
251.125	-61.6213
251.25	-61.5254
251.375	-61.4309
251.5	-61.3378
251.625	-61.2462
251.75	-61.1561
251.875	-61.0674
252	-60.9801
252.125	-60.8944
252.25	-60.81
252.375	-60.7272
252.5	-60.6457
252.625	-60.5658
252.75	-60.4873
252.875	-60.4102
253	-60.3345
253.125	-60.2603
253.25	-60.1875
253.375	-60.1161
253.5	-60.0462
253.625	-59.9776
253.75	-59.9105
253.875	-59.8447
254	-59.7803
254.125	-59.7172
254.25	-59.6556
254.375	-59.5953
254.5	-59.5363
254.625	-59.4787
254.75	-59.4224
254.875	-59.3674
255	-59.3138
255.125	-59.2614
255.25	-59.2104
255.375	-59.1606
255.5	-59.1121
255.625	-59.065
255.75	-59.019
255.875	-58.9744
256	-58.931
256.125	-58.8888
256.25	-58.8479
256.375	-58.8082
256.5	-58.7698
256.625	-58.7325
256.75	-58.6965
256.875	-58.6617
257	-58.6281
257.125	-58.5957
257.25	-58.5645
257.375	-58.5345
257.5	-58.5057
257.625	-58.478
257.75	-58.4515
257.875	-58.4262
258	-58.4021
258.125	-58.3791
258.25	-58.3572
258.375	-58.3366
258.5	-58.317
258.625	-58.2987
258.75	-58.2814
258.875	-58.2653
259	-58.2503
259.125	-58.2365
259.25	-58.2238
259.375	-58.2122
259.5	-58.2018
259.625	-58.1925
259.75	-58.1843
259.875	-58.1772
260	-58.1713
260.125	-58.1664
260.25	-58.1627
260.375	-58.1601
260.5	-58.1587
260.625	-58.1583
260.75	-58.1591
260.875	-58.161
261	-58.1639
261.125	-58.1681
261.25	-58.1733
261.375	-58.1796
261.5	-58.1871
261.625	-58.1957
261.75	-58.2054
261.875	-58.2162
262	-58.2282
262.125	-58.2413
262.25	-58.2555
262.375	-58.2709
262.5	-58.2873
262.625	-58.305
262.75	-58.3237
262.875	-58.3436
263	-58.3647
263.125	-58.3869
263.25	-58.4102
263.375	-58.4347
263.5	-58.4604
263.625	-58.4872
263.75	-58.5152
263.875	-58.5444
264	-58.5747
264.125	-58.6062
264.25	-58.639
264.375	-58.6729
264.5	-58.708
264.625	-58.7443
264.75	-58.7818
264.875	-58.8206
265	-58.8606
265.125	-58.9018
265.25	-58.9442
265.375	-58.9879
265.5	-59.0328
265.625	-59.079
265.75	-59.1264
265.875	-59.1752
266	-59.2252
266.125	-59.2764
266.25	-59.329
266.375	-59.3829
266.5	-59.4381
266.625	-59.4946
266.75	-59.5525
266.875	-59.6117
267	-59.6722
267.125	-59.7341
267.25	-59.7973
267.375	-59.862
267.5	-59.928
267.625	-59.9953
267.75	-60.0641
267.875	-60.1343
268	-60.2059
268.125	-60.279
268.25	-60.3534
268.375	-60.4293
268.5	-60.5067
268.625	-60.5855
268.75	-60.6658
268.875	-60.7475
269	-60.8307
269.125	-60.9154
269.25	-61.0016
269.375	-61.0892
269.5	-61.1784
269.625	-61.269
269.75	-61.3612
269.875	-61.4548
270	-61.5499
270.125	-61.6466
270.25	-61.7447
270.375	-61.8442
270.5	-61.9453
270.625	-62.0478
270.75	-62.1518
270.875	-62.2571
271	-62.3639
271.125	-62.4721
271.25	-62.5816
271.375	-62.6925
271.5	-62.8046
271.625	-62.918
271.75	-63.0326
271.875	-63.1484
272	-63.2652
272.125	-63.3831
272.25	-63.5019
272.375	-63.6216
272.5	-63.742
272.625	-63.8632
272.75	-63.9849
272.875	-64.1071
273	-64.2296
273.125	-64.3523
273.25	-64.4749
273.375	-64.5975
273.5	-64.7196
273.625	-64.8413
273.75	-64.9622
273.875	-65.082
274	-65.2007
274.125	-65.3178
274.25	-65.4332
274.375	-65.5464
274.5	-65.6573
274.625	-65.7654
274.75	-65.8705
274.875	-65.9721
275	-66.07
275.125	-66.1637
275.25	-66.253
275.375	-66.3373
275.5	-66.4164
275.625	-66.4899
275.75	-66.5574
275.875	-66.6187
276	-66.6733
276.125	-66.7211
276.25	-66.7617
276.375	-66.795
276.5	-66.8208
276.625	-66.8388
276.75	-66.8491
276.875	-66.8516
277	-66.8463
277.125	-66.8331
277.25	-66.8123
277.375	-66.784
277.5	-66.7482
277.625	-66.7053
277.75	-66.6555
277.875	-66.5991
278	-66.5363
278.125	-66.4676
278.25	-66.3931
278.375	-66.3135
278.5	-66.2288
278.625	-66.1397
278.75	-66.0463
278.875	-65.9491
279	-65.8485
279.125	-65.7448
279.25	-65.6383
279.375	-65.5294
279.5	-65.4183
279.625	-65.3055
279.75	-65.191
279.875	-65.0754
280	-64.9587
280.125	-64.8412
280.25	-64.7231
280.375	-64.6047
280.5	-64.4861
280.625	-64.3675
280.75	-64.2491
280.875	-64.1309
281	-64.0132
281.125	-63.8961
281.25	-63.7796
281.375	-63.6639
281.5	-63.549
281.625	-63.4351
281.75	-63.3223
281.875	-63.2105
282	-63.0998
282.125	-62.9904
282.25	-62.8821
282.375	-62.7752
282.5	-62.6696
282.625	-62.5654
282.75	-62.4625
282.875	-62.361
283	-62.261
283.125	-62.1624
283.25	-62.0653
283.375	-61.9696
283.5	-61.8754
283.625	-61.7827
283.75	-61.6915
283.875	-61.6017
284	-61.5135
284.125	-61.4267
284.25	-61.3415
284.375	-61.2577
284.5	-61.1755
284.625	-61.0947
284.75	-61.0154
284.875	-60.9375
285	-60.8612
285.125	-60.7863
285.25	-60.7128
285.375	-60.6409
285.5	-60.5703
285.625	-60.5012
285.75	-60.4335
285.875	-60.3672
286	-60.3023
286.125	-60.2389
286.25	-60.1768
286.375	-60.1161
286.5	-60.0567
286.625	-59.9988
286.75	-59.9422
286.875	-59.8869
287	-59.833
287.125	-59.7804
287.25	-59.7291
287.375	-59.6791
287.5	-59.6305
287.625	-59.5831
287.75	-59.5371
287.875	-59.4923
288	-59.4488
288.125	-59.4065
288.25	-59.3655
288.375	-59.3258
288.5	-59.2873
288.625	-59.25
288.75	-59.214
288.875	-59.1792
289	-59.1456
289.125	-59.1132
289.25	-59.0821
289.375	-59.0521
289.5	-59.0233
289.625	-58.9957
289.75	-58.9693
289.875	-58.9441
290	-58.9201
290.125	-58.8972
290.25	-58.8755
290.375	-58.855
290.5	-58.8356
290.625	-58.8173
290.75	-58.8003
290.875	-58.7843
291	-58.7695
291.125	-58.7559
291.25	-58.7434
291.375	-58.732
291.5	-58.7218
291.625	-58.7127
291.75	-58.7047
291.875	-58.6978
292	-58.6921
292.125	-58.6875
292.25	-58.684
292.375	-58.6817
292.5	-58.6804
292.625	-58.6803
292.75	-58.6813
292.875	-58.6834
293	-58.6867
293.125	-58.691
293.25	-58.6965
293.375	-58.7031
293.5	-58.7108
293.625	-58.7197
293.75	-58.7297
293.875	-58.7408
294	-58.753
294.125	-58.7663
294.25	-58.7808
294.375	-58.7964
294.5	-58.8131
294.625	-58.831
294.75	-58.85
294.875	-58.8702
295	-58.8915
295.125	-58.9139
295.25	-58.9375
295.375	-58.9622
295.5	-58.9881
295.625	-59.0152
295.75	-59.0434
295.875	-59.0728
296	-59.1034
296.125	-59.1351
296.25	-59.1681
296.375	-59.2022
296.5	-59.2375
296.625	-59.274
296.75	-59.3117
296.875	-59.3506
297	-59.3908
297.125	-59.4321
297.25	-59.4747
297.375	-59.5185
297.5	-59.5636
297.625	-59.6099
297.75	-59.6575
297.875	-59.7063
298	-59.7564
298.125	-59.8077
298.25	-59.8604
298.375	-59.9143
298.5	-59.9695
298.625	-60.0261
298.75	-60.0839
298.875	-60.1431
299	-60.2036
299.125	-60.2654
299.25	-60.3286
299.375	-60.3932
299.5	-60.4591
299.625	-60.5263
299.75	-60.5949
299.875	-60.665
300	-60.7364
300.125	-60.8092
300.25	-60.8834
300.375	-60.959
300.5	-61.036
300.625	-61.1145
300.75	-61.1944
300.875	-61.2757
301	-61.3585
301.125	-61.4427
301.25	-61.5283
301.375	-61.6154
301.5	-61.7039
301.625	-61.7939
301.75	-61.8853
301.875	-61.9782
302	-62.0725
302.125	-62.1683
302.25	-62.2655
302.375	-62.3641
302.5	-62.4641
302.625	-62.5655
302.75	-62.6682
302.875	-62.7723
303	-62.8778
303.125	-62.9845
303.25	-63.0926
303.375	-63.2018
303.5	-63.3123
303.625	-63.4239
303.75	-63.5367
303.875	-63.6505
304	-63.7652
304.125	-63.8809
304.25	-63.9974
304.375	-64.1147
304.5	-64.2327
304.625	-64.3512
304.75	-64.4701
304.875	-64.5894
305	-64.7088
305.125	-64.8284
305.25	-64.9477
305.375	-65.0668
305.5	-65.1854
305.625	-65.3034
305.75	-65.4204
305.875	-65.5363
306	-65.6509
306.125	-65.7639
306.25	-65.8749
306.375	-65.9838
306.5	-66.0901
306.625	-66.1937
306.75	-66.2942
306.875	-66.3912
307	-66.4845
307.125	-66.5736
307.25	-66.6582
307.375	-66.738
307.5	-66.8127
307.625	-66.8819
307.75	-66.9452
307.875	-67.0025
308	-67.0534
308.125	-67.0977
308.25	-67.1351
308.375	-67.1654
308.5	-67.1885
308.625	-67.2044
308.75	-67.2128
308.875	-67.2138
309	-67.2073
309.125	-67.1935
309.25	-67.1724
309.375	-67.1441
309.5	-67.1089
309.625	-67.0668
309.75	-67.0182
309.875	-66.9634
310	-66.9025
310.125	-66.836
310.25	-66.764
310.375	-66.6871
310.5	-66.6054
310.625	-66.5194
310.75	-66.4294
310.875	-66.3357
311	-66.2387
311.125	-66.1387
311.25	-66.0361
311.375	-65.931
311.5	-65.8239
311.625	-65.7149
311.75	-65.6045
311.875	-65.4927
312	-65.38
312.125	-65.2664
312.25	-65.1522
312.375	-65.0376
312.5	-64.9228
312.625	-64.8079
312.75	-64.6931
312.875	-64.5786
313	-64.4644
313.125	-64.3507
313.25	-64.2376
313.375	-64.1252
313.5	-64.0135
313.625	-63.9028
313.75	-63.793
313.875	-63.6842
314	-63.5764
314.125	-63.4698
314.25	-63.3644
314.375	-63.2602
314.5	-63.1572
314.625	-63.0555
314.75	-62.9551
314.875	-62.8561
315	-62.7584
315.125	-62.6621
315.25	-62.5672
315.375	-62.4738
315.5	-62.3817
315.625	-62.291
315.75	-62.2018
315.875	-62.1141
316	-62.0278
316.125	-61.9429
316.25	-61.8594
316.375	-61.7775
316.5	-61.6969
316.625	-61.6178
316.75	-61.5402
316.875	-61.4639
317	-61.3891
317.125	-61.3158
317.25	-61.2438
317.375	-61.1733
317.5	-61.1041
317.625	-61.0364
317.75	-60.9701
317.875	-60.9051
318	-60.8415
318.125	-60.7793
318.25	-60.7185
318.375	-60.659
318.5	-60.6008
318.625	-60.544
318.75	-60.4886
318.875	-60.4344
319	-60.3816
319.125	-60.33
319.25	-60.2798
319.375	-60.2309
319.5	-60.1832
319.625	-60.1369
319.75	-60.0917
319.875	-60.0479
320	-60.0053
320.125	-59.964
320.25	-59.9239
320.375	-59.885
320.5	-59.8474
320.625	-59.811
320.75	-59.7758
320.875	-59.7418
321	-59.709
321.125	-59.6774
321.25	-59.647
321.375	-59.6178
321.5	-59.5898
321.625	-59.5629
321.75	-59.5372
321.875	-59.5127
322	-59.4894
322.125	-59.4672
322.25	-59.4461
322.375	-59.4263
322.5	-59.4075
322.625	-59.3899
322.75	-59.3735
322.875	-59.3582
323	-59.344
323.125	-59.3309
323.25	-59.319
323.375	-59.3082
323.5	-59.2985
323.625	-59.29
323.75	-59.2825
323.875	-59.2762
324	-59.271
324.125	-59.267
324.25	-59.264
324.375	-59.2621
324.5	-59.2614
324.625	-59.2618
324.75	-59.2632
324.875	-59.2658
325	-59.2695
325.125	-59.2744
325.25	-59.2803
325.375	-59.2873
325.5	-59.2955
325.625	-59.3047
325.75	-59.3151
325.875	-59.3266
326	-59.3392
326.125	-59.353
326.25	-59.3678
326.375	-59.3838
326.5	-59.4009
326.625	-59.4191
326.75	-59.4385
326.875	-59.4589
327	-59.4806
327.125	-59.5033
327.25	-59.5272
327.375	-59.5523
327.5	-59.5784
327.625	-59.6058
327.75	-59.6343
327.875	-59.6639
328	-59.6947
328.125	-59.7267
328.25	-59.7599
328.375	-59.7942
328.5	-59.8297
328.625	-59.8664
328.75	-59.9043
328.875	-59.9434
329	-59.9837
329.125	-60.0252
329.25	-60.0679
329.375	-60.1118
329.5	-60.157
329.625	-60.2034
329.75	-60.251
329.875	-60.2999
330	-60.35
330.125	-60.4014
330.25	-60.454
330.375	-60.5079
330.5	-60.5631
330.625	-60.6196
330.75	-60.6773
330.875	-60.7364
331	-60.7968
331.125	-60.8584
331.25	-60.9214
331.375	-60.9858
331.5	-61.0514
331.625	-61.1184
331.75	-61.1867
331.875	-61.2564
332	-61.3274
332.125	-61.3998
332.25	-61.4736
332.375	-61.5487
332.5	-61.6252
332.625	-61.7031
332.75	-61.7824
332.875	-61.863
333	-61.9451
333.125	-62.0285
333.25	-62.1133
333.375	-62.1995
333.5	-62.2871
333.625	-62.3761
333.75	-62.4664
333.875	-62.5581
334	-62.6512
334.125	-62.7457
334.25	-62.8414
334.375	-62.9385
334.5	-63.037
334.625	-63.1367
334.75	-63.2376
334.875	-63.3399
335	-63.4433
335.125	-63.5479
335.25	-63.6537
335.375	-63.7606
335.5	-63.8685
335.625	-63.9774
335.75	-64.0873
335.875	-64.1981
336	-64.3097
336.125	-64.4221
336.25	-64.5351
336.375	-64.6486
336.5	-64.7626
336.625	-64.877
336.75	-64.9916
336.875	-65.1063
337	-65.221
337.125	-65.3355
337.25	-65.4496
337.375	-65.5632
337.5	-65.6761
337.625	-65.788
337.75	-65.8988
337.875	-66.0083
338	-66.1161
338.125	-66.222
338.25	-66.3259
338.375	-66.4273
338.5	-66.5261
338.625	-66.6218
338.75	-66.7143
338.875	-66.8032
339	-66.8882
339.125	-66.9689
339.25	-67.0451
339.375	-67.1165
339.5	-67.1828
339.625	-67.2436
339.75	-67.2987
339.875	-67.3479
340	-67.3909
340.125	-67.4275
340.25	-67.4576
340.375	-67.481
340.5	-67.4975
340.625	-67.5072
340.75	-67.5099
340.875	-67.5056
