# Coeficientes FIR
6.23687e-19
0.00119497
0.00273108
0.00409819
0.00379426
-2.31292e-18
-0.00790467
-0.0177984
-0.0243611
-0.0204342
5.78923e-18
0.0384284
0.0897121
0.142616
0.183151
0.199528
0.186656
0.148172
0.0950776
0.0415838
6.40502e-18
-0.0231559
-0.0283399
-0.021316
-0.0097778
-2.96438e-18
0.00504614
0.00562764
0.00378294
0.00156734
6.97097e-19
-0.000935489

# Frecuencia (Hz)	Magnitud (dB)
34.75	-0.00780559
34.875	-0.00774068
35	-0.00767943
35.125	-0.00762196
35.25	-0.0075684
35.375	-0.00751888
35.5	-0.0074735
35.625	-0.00743241
35.75	-0.00739572
35.875	-0.00736358
36	-0.0073361
36.125	-0.00731342
36.25	-0.00729567
36.375	-0.00728299
36.5	-0.00727551
36.625	-0.00727338
36.75	-0.00727672
36.875	-0.00728568
37	-0.0073004
37.125	-0.00732102
37.25	-0.00734769
37.375	-0.00738055
37.5	-0.00741975
37.625	-0.00746544
37.75	-0.00751776
37.875	-0.00757687
38	-0.00764292
38.125	-0.00771606
38.25	-0.00779645
38.375	-0.00788424
38.5	-0.00797959
38.625	-0.00808266
38.75	-0.00819361
38.875	-0.0083126
39	-0.0084398
39.125	-0.00857536
39.25	-0.00871946
39.375	-0.00887225
39.5	-0.00903392
39.625	-0.00920462
39.75	-0.00938453
39.875	-0.00957383
40	-0.00977267
40.125	-0.00998124
40.25	-0.0101997
40.375	-0.0104283
40.5	-0.0106671
40.625	-0.0109164
40.75	-0.0111762
40.875	-0.0114469
41	-0.0117286
41.125	-0.0120214
41.25	-0.0123256
41.375	-0.0126414
41.5	-0.0129688
41.625	-0.0133082
41.75	-0.0136597
41.875	-0.0140235
42	-0.0143999
42.125	-0.0147889
42.25	-0.0151908
42.375	-0.0156058
42.5	-0.016034
42.625	-0.0164758
42.75	-0.0169312
42.875	-0.0174006
43	-0.017884
43.125	-0.0183817
43.25	-0.0188939
43.375	-0.0194208
43.5	-0.0199627
43.625	-0.0205196
43.75	-0.0210919
43.875	-0.0216798
44	-0.0222834
44.125	-0.0229029
44.25	-0.0235387
44.375	-0.0241909
44.5	-0.0248596
44.625	-0.0255452
44.75	-0.0262479
44.875	-0.0269679
45	-0.0277053
45.125	-0.0284605
45.25	-0.0292336
45.375	-0.0300248
45.5	-0.0308345
45.625	-0.0316628
45.75	-0.0325099
45.875	-0.0333761
46	-0.0342616
46.125	-0.0351666
46.25	-0.0360914
46.375	-0.0370362
46.5	-0.0380013
46.625	-0.0389868
46.75	-0.039993
46.875	-0.0410201
47	-0.0420685
47.125	-0.0431382
47.25	-0.0442296
47.375	-0.0453429
47.5	-0.0464783
47.625	-0.0476361
47.75	-0.0488166
47.875	-0.0500199
48	-0.0512463
48.125	-0.0524961
48.25	-0.0537694
48.375	-0.0550667
48.5	-0.056388
48.625	-0.0577337
48.75	-0.0591039
48.875	-0.0604991
49	-0.0619193
49.125	-0.0633649
49.25	-0.0648361
49.375	-0.0663332
49.5	-0.0678564
49.625	-0.0694059
49.75	-0.0709821
49.875	-0.0725852
50	-0.0742154
50.125	-0.0758731
50.25	-0.0775584
50.375	-0.0792717
50.5	-0.0810131
50.625	-0.082783
50.75	-0.0845816
50.875	-0.0864092
51	-0.088266
51.125	-0.0901524
51.25	-0.0920685
51.375	-0.0940147
51.5	-0.0959911
51.625	-0.0979982
51.75	-0.100036
51.875	-0.102105
52	-0.104205
52.125	-0.106338
52.25	-0.108502
52.375	-0.110698
52.5	-0.112926
52.625	-0.115188
52.75	-0.117482
52.875	-0.11981
53	-0.122171
53.125	-0.124566
53.25	-0.126996
53.375	-0.129459
53.5	-0.131958
53.625	-0.134491
53.75	-0.137059
53.875	-0.139663
54	-0.142303
54.125	-0.144979
54.25	-0.147691
54.375	-0.15044
54.5	-0.153226
54.625	-0.156049
54.75	-0.158909
54.875	-0.161807
55	-0.164744
55.125	-0.167718
55.25	-0.170731
55.375	-0.173783
55.5	-0.176874
55.625	-0.180005
55.75	-0.183176
55.875	-0.186386
56	-0.189637
56.125	-0.192928
56.25	-0.196261
56.375	-0.199634
56.5	-0.203049
56.625	-0.206506
56.75	-0.210005
56.875	-0.213546
57	-0.21713
57.125	-0.220756
57.25	-0.224426
57.375	-0.22814
57.5	-0.231897
57.625	-0.235698
57.75	-0.239544
57.875	-0.243434
58	-0.24737
58.125	-0.25135
58.25	-0.255376
58.375	-0.259448
58.5	-0.263566
58.625	-0.267731
58.75	-0.271942
58.875	-0.276201
59	-0.280506
59.125	-0.284859
59.25	-0.28926
59.375	-0.29371
59.5	-0.298208
59.625	-0.302754
59.75	-0.30735
59.875	-0.311995
60	-0.31669
60.125	-0.321435
60.25	-0.32623
60.375	-0.331075
60.5	-0.335972
60.625	-0.34092
60.75	-0.345919
60.875	-0.35097
61	-0.356073
61.125	-0.361228
61.25	-0.366436
61.375	-0.371697
61.5	-0.377011
61.625	-0.382379
61.75	-0.3878
61.875	-0.393276
62	-0.398806
62.125	-0.404391
62.25	-0.410031
62.375	-0.415727
62.5	-0.421478
62.625	-0.427285
62.75	-0.433148
62.875	-0.439068
63	-0.445044
63.125	-0.451078
63.25	-0.457169
63.375	-0.463318
63.5	-0.469526
63.625	-0.475791
63.75	-0.482115
63.875	-0.488498
64	-0.49494
64.125	-0.501442
64.25	-0.508004
64.375	-0.514626
64.5	-0.521308
64.625	-0.528051
64.75	-0.534855
64.875	-0.541721
65	-0.548648
65.125	-0.555637
65.25	-0.562688
65.375	-0.569802
65.5	-0.576979
65.625	-0.584219
65.75	-0.591523
65.875	-0.59889
66	-0.606321
66.125	-0.613817
66.25	-0.621377
66.375	-0.629003
66.5	-0.636693
66.625	-0.64445
66.75	-0.652272
66.875	-0.66016
67	-0.668115
67.125	-0.676136
67.25	-0.684225
67.375	-0.692381
67.5	-0.700605
67.625	-0.708896
67.75	-0.717256
67.875	-0.725685
68	-0.734183
68.125	-0.742749
68.25	-0.751385
68.375	-0.760091
68.5	-0.768868
68.625	-0.777714
68.75	-0.786631
68.875	-0.795619
69	-0.804679
69.125	-0.81381
69.25	-0.823013
69.375	-0.832288
69.5	-0.841636
69.625	-0.851057
69.75	-0.86055
69.875	-0.870117
70	-0.879758
70.125	-0.889473
70.25	-0.899262
70.375	-0.909126
70.5	-0.919064
70.625	-0.929078
70.75	-0.939167
70.875	-0.949332
71	-0.959574
71.125	-0.969891
71.25	-0.980286
71.375	-0.990757
71.5	-1.00131
71.625	-1.01193
71.75	-1.02264
71.875	-1.03342
72	-1.04428
72.125	-1.05522
72.25	-1.06624
72.375	-1.07734
72.5	-1.08851
72.625	-1.09977
72.75	-1.11111
72.875	-1.12253
73	-1.13403
73.125	-1.14561
73.25	-1.15727
73.375	-1.16902
73.5	-1.18084
73.625	-1.19275
73.75	-1.20474
73.875	-1.21682
74	-1.22898
