# z	 E	 H
#t = 0
19.1	-0.0535827	-0.0535827
19.2	-0.0481754	-0.0481754
19.3	-0.0425779	-0.0425779
19.4	-0.0368125	-0.0368125
19.5	-0.0309017	-0.0309017
19.6	-0.024869	-0.024869
19.7	-0.0187381	-0.0187381
19.8	-0.0125333	-0.0125333
19.9	-0.00627905	-0.00627905


#t = 0.05
0	0	0.00313953
0.1	0.00941238	0.00940619
0.2	0.0156481	0.0156357
0.3	0.021822	0.0218036
0.4	0.0279099	0.0278853
0.5	0.0338876	0.0338571
0.6	0.0397315	0.0396952
0.7	0.0454187	0.0453766
0.8	0.0509266	0.050879
0.9	0.0562335	0.0561806
1	0.0613185	0.0612605
1.1	0.0661614	0.0660986
1.2	0.0707433	0.0706758
1.3	0.075046	0.0749741
1.4	0.0790525	0.0789765
1.5	0.0827471	0.0826672
1.6	0.086115	0.0860317
1.7	0.0891431	0.0890567
1.8	0.0918195	0.0917302
1.9	0.0941334	0.0940417
2	0.0960758	0.095982
2.1	0.0976391	0.0975435
2.2	0.098817	0.0987201
2.3	0.099605	0.0995071
2.4	0.0999998	0.0999013
2.5	0.1	0.0999013
2.6	0.0996055	0.0995071
2.7	0.098818	0.0987201
2.8	0.0976404	0.0975435
2.9	0.0960775	0.095982
3	0.0941355	0.0940417
3.1	0.0918219	0.0917302
3.2	0.089146	0.0890567
3.3	0.0861182	0.0860317
3.4	0.0827506	0.0826672
3.5	0.0790563	0.0789765
3.6	0.0750501	0.0749741
3.7	0.0707477	0.0706758
3.8	0.0661661	0.0660986
3.9	0.0613234	0.0612605
4	0.0562386	0.0561806
4.1	0.0509319	0.050879
4.2	0.0454242	0.0453766
4.3	0.0397372	0.0396952
4.4	0.0338934	0.0338571
4.5	0.0279158	0.0278853
4.6	0.0218281	0.0218036
4.7	0.0156542	0.0156357
4.8	0.00941855	0.00940619
4.9	0.00314572	0.00313953
5	-0.00313953	-0.00313953
5.1	-0.00941238	-0.00940619
5.2	-0.0156481	-0.0156357
5.3	-0.021822	-0.0218036
5.4	-0.0279099	-0.0278853
5.5	-0.0338876	-0.0338571
5.6	-0.0397315	-0.0396952
5.7	-0.0454187	-0.0453766
5.8	-0.0509266	-0.050879
5.9	-0.0562335	-0.0561806
6	-0.0613185	-0.0612605
6.1	-0.0661614	-0.0660986
6.2	-0.0707433	-0.0706758
6.3	-0.075046	-0.0749741
6.4	-0.0790525	-0.0789765
6.5	-0.0827471	-0.0826672
6.6	-0.086115	-0.0860317
6.7	-0.0891431	-0.0890567
6.8	-0.0918195	-0.0917302
6.9	-0.0941334	-0.0940417
7	-0.0960758	-0.095982
7.1	-0.0976391	-0.0975435
7.2	-0.098817	-0.0987201
7.3	-0.099605	-0.0995071
7.4	-0.0999998	-0.0999013
7.5	-0.1	-0.0999013
7.6	-0.0996055	-0.0995071
7.7	-0.098818	-0.0987201
7.8	-0.0976404	-0.0975435
7.9	-0.0960775	-0.095982
8	-0.0941355	-0.0940417
8.1	-0.0918219	-0.0917302
8.2	-0.089146	-0.0890567
8.3	-0.0861182	-0.0860317
8.4	-0.0827506	-0.0826672
8.5	-0.0790563	-0.0789765
8.6	-0.0750501	-0.0749741
8.7	-0.0707477	-0.0706758
8.8	-0.0661661	-0.0660986
8.9	-0.0613234	-0.0612605
9	-0.0562386	-0.0561806
9.1	-0.0509319	-0.050879
9.2	-0.0454242	-0.0453766
9.3	-0.0397372	-0.0396952
9.4	-0.0338934	-0.0338571
9.5	-0.0279158	-0.0278853
9.6	-0.0218281	-0.0218036
9.7	-0.0156542	-0.0156357
9.8	-0.00941855	-0.00940619
9.9	-0.00314572	-0.00313953
10	0.00313953	0.00313953
10.1	0.00941238	0.00940619
10.2	0.0156481	0.0156357
10.3	0.021822	0.0218036
10.4	0.0279099	0.0278853
10.5	0.0338876	0.0338571
10.6	0.0397315	0.0396952
10.7	0.0454187	0.0453766
10.8	0.0509266	0.050879
10.9	0.0562335	0.0561806
11	0.0613185	0.0612605
11.1	0.0661614	0.0660986
11.2	0.0707433	0.0706758
11.3	0.075046	0.0749741
11.4	0.0790525	0.0789765
11.5	0.0827471	0.0826672
11.6	0.086115	0.0860317
11.7	0.0891431	0.0890567
11.8	0.0918195	0.0917302
11.9	0.0941334	0.0940417
12	0.0960758	0.095982
12.1	0.0976391	0.0975435
12.2	0.098817	0.0987201
12.3	0.099605	0.0995071
12.4	0.0999998	0.0999013
12.5	0.1	0.0999013
12.6	0.0996055	0.0995071
12.7	0.098818	0.0987201
12.8	0.0976404	0.0975435
12.9	0.0960775	0.095982
13	0.0941355	0.0940417
13.1	0.0918219	0.0917302
13.2	0.089146	0.0890567
13.3	0.0861182	0.0860317
13.4	0.0827506	0.0826672
13.5	0.0790563	0.0789765
13.6	0.0750501	0.0749741
13.7	0.0707477	0.0706758
13.8	0.0661661	0.0660986
13.9	0.0613234	0.0612605
14	0.0562386	0.0561806
14.1	0.0509319	0.050879
14.2	0.0454242	0.0453766
14.3	0.0397372	0.0396952
