Paso;z;Ex;Hy
1;193.939;-0.0489187;-0.0489187
1;195.96;-0.0373683;-0.0373683
1;197.98;-0.0252166;-0.0252166
1;200;-0.0126592;-0.0126592
2;0;-0.0253185;-0.0253185
2;2.0202;-0.0126584;-0.0126584
2;4.0404;0.000205318;0.000205318
2;6.06061;0.0130658;0.0130658
2;8.08081;0.025716;0.025716
2;10.101;0.0379524;0.0379524
2;12.1212;0.0495782;0.0495782
2;14.1414;0.0604062;0.0604062
2;16.1616;0.0702622;0.0702622
2;18.1818;0.0789878;0.0789878
2;20.202;0.0864424;0.0864424
2;22.2222;0.092506;0.092506
2;24.2424;0.0970813;0.0970813
2;26.2626;0.100094;0.100094
2;28.2828;0.101497;0.101497
2;30.303;0.101267;0.101267
2;32.3232;0.0994066;0.0994066
2;34.3434;0.0959472;0.0959472
2;36.3636;0.0909439;0.0909439
2;38.3838;0.0844773;0.0844773
2;40.404;0.0766515;0.0766515
2;42.4242;0.0675923;0.0675923
2;44.4444;0.0574455;0.0574455
2;46.4646;0.0463744;0.0463744
2;48.4848;0.0345571;0.0345571
2;50.5051;0.0221838;0.0221838
2;52.5253;0.00945353;0.00945353
2;54.5455;-0.00342885;-0.00342885
2;56.5657;-0.0162561;-0.0162561
2;58.5859;-0.0288217;-0.0288217
2;60.6061;-0.0409236;-0.0409236
2;62.6263;-0.052367;-0.052367
2;64.6465;-0.0629678;-0.0629678
2;66.6667;-0.0725554;-0.0725554
2;68.6869;-0.0809756;-0.0809756
2;70.7071;-0.0880929;-0.0880929
2;72.7273;-0.0937927;-0.0937927
2;74.7475;-0.0979833;-0.0979833
2;76.7677;-0.100597;-0.100597
2;78.7879;-0.101593;-0.101593
2;80.8081;-0.100954;-0.100954
2;82.8283;-0.0986899;-0.0986899
2;84.8485;-0.0948383;-0.0948383
2;86.8687;-0.0894608;-0.0894608
2;88.8889;-0.0826437;-0.0826437
2;90.9091;-0.0744969;-0.0744969
2;92.9293;-0.0651515;-0.0651515
2;94.9495;-0.0547577;-0.0547577
2;96.9697;-0.0434828;-0.0434828
2;98.9899;-0.0315083;-0.0315083
2;101.01;-0.0190268;-0.0190268
2;103.03;-0.00623912;-0.00623912
2;105.051;0.00664892;0.00664892
2;107.071;0.01943;0.01943
2;109.091;0.0318984;0.0318984
2;111.111;0.0438536;0.0438536
2;113.131;0.0551031;0.0551031
2;115.152;0.065466;0.065466
2;117.172;0.0747756;0.0747756
2;119.192;0.0828819;0.0828819
2;121.212;0.0896547;0.0896547
2;123.232;0.0949849;0.0949849
2;125.253;0.0987868;0.0987868
2;127.273;0.100999;0.100999
2;129.293;0.101586;0.101586
2;131.313;0.100539;0.100539
2;133.333;0.0978739;0.0978739
2;135.354;0.093634;0.093634
2;137.374;0.0878876;0.0878876
2;139.394;0.0807269;0.0807269
2;141.414;0.0722674;0.0722674
2;143.434;0.062645;0.062645
2;145.455;0.0520147;0.0520147
2;147.475;0.0405474;0.0405474
2;149.495;0.0284277;0.0284277
2;151.515;0.0158506;0.0158506
2;153.535;0.00301842;0.00301842
2;155.556;-0.00986231;-0.00986231
2;157.576;-0.0225843;-0.0225843
2;159.596;-0.034943;-0.034943
2;161.616;-0.0467394;-0.0467394
2;163.636;-0.0577837;-0.0577837
2;165.657;-0.0678983;-0.0678983
2;167.677;-0.0769204;-0.0769204
2;169.697;-0.0847048;-0.0847048
2;171.717;-0.0911263;-0.0911263
2;173.737;-0.0960815;-0.0960815
2;175.758;-0.0994907;-0.0994907
2;177.778;-0.101299;-0.101299
2;179.798;-0.101478;-0.101478
2;181.818;-0.100023;-0.100023
2;183.838;-0.0969594;-0.0969594
2;185.859;-0.0923355;-0.0923355
2;187.879;-0.0862259;-0.0862259
2;189.899;-0.0787288;-0.0787288
2;191.919;-0.0699651;-0.0699651
2;193.939;-0.0600755;-0.0600755
2;195.96;-0.0492193;-0.0492193
2;197.98;-0.0375712;-0.0375712
2;200;-0.0253185;-0.0253185
3;0;-0.0377749;-0.0377749
3;2.0202;-0.0254203;-0.0254203
3;4.0404;-0.0126568;-0.0126568
3;6.06061;0.000310434;0.000310434
3;8.08081;0.0132726;0.0132726
3;10.101;0.0260213;0.0260213
3;12.1212;0.0383513;0.0383513
3;14.1414;0.0500641;0.0500641
3;16.1616;0.0609715;0.0609715
3;18.1818;0.0708977;0.0708977
3;20.202;0.0796832;0.0796832
3;22.2222;0.0871866;0.0871866
3;24.2424;0.0932871;0.0932871
3;26.2626;0.0978866;0.0978866
3;28.2828;0.100911;0.100911
3;30.303;0.102312;0.102312
3;32.3232;0.102066;0.102066
3;34.3434;0.100178;0.100178
3;36.3636;0.0966788;0.0966788
3;38.3838;0.0916235;0.0916235
3;40.404;0.085094;0.085094
3;42.4242;0.0771953;0.0771953
3;44.4444;0.0680544;0.0680544
3;46.4646;0.0578186;0.0578186
3;48.4848;0.0466524;0.0466524
3;50.5051;0.0347356;0.0347356
3;52.5253;0.0222599;0.0222599
3;54.5455;0.00942594;0.00942594
3;56.5657;-0.00355963;-0.00355963
3;58.5859;-0.0164879;-0.0164879
3;60.6061;-0.0291509;-0.0291509
3;62.6263;-0.0413449;-0.0413449
3;64.6465;-0.0528736;-0.0528736
3;66.6667;-0.0635515;-0.0635515
3;68.6869;-0.0732069;-0.0732069
3;70.7071;-0.0816843;-0.0816843
3;72.7273;-0.0888475;-0.0888475
3;74.7475;-0.094581;-0.094581
3;76.7677;-0.0987927;-0.0987927
3;78.7879;-0.101415;-0.101415
3;80.8081;-0.102405;-0.102405
3;82.8283;-0.101748;-0.101748
3;84.8485;-0.0994529;-0.0994529
3;86.8687;-0.0955581;-0.0955581
3;88.8889;-0.0901257;-0.0901257
3;90.9091;-0.0832431;-0.0832431
3;92.9293;-0.0750211;-0.0750211
3;94.9495;-0.065592;-0.065592
3;96.9697;-0.0551075;-0.0551075
3;98.9899;-0.0437363;-0.0437363
