Paso;z;Ex;Hy
1;133.333;0.0916662;0.0916662
1;135.354;0.0857094;0.0857094
1;137.374;0.0783735;0.0783735
1;139.394;0.0697766;0.0697766
1;141.414;0.0600569;0.0600569
1;143.434;0.0493708;0.0493708
1;145.455;0.0378904;0.0378904
1;147.475;0.0258003;0.0258003
1;149.495;0.0132951;0.0132951
1;151.515;0.000575934;0.000575934
1;153.535;-0.0121525;-0.0121525
1;155.556;-0.0246854;-0.0246854
1;157.576;-0.0368211;-0.0368211
1;159.596;-0.0483643;-0.0483643
1;161.616;-0.0591293;-0.0591293
1;163.636;-0.0689429;-0.0689429
1;165.657;-0.0776472;-0.0776472
1;167.677;-0.0851021;-0.0851021
1;169.697;-0.0911877;-0.0911877
1;171.717;-0.0958061;-0.0958061
1;173.737;-0.0988829;-0.0988829
1;175.758;-0.100369;-0.100369
1;177.778;-0.100239;-0.100239
1;179.798;-0.0984973;-0.0984973
1;181.818;-0.0951703;-0.0951703
1;183.838;-0.090312;-0.090312
1;185.859;-0.0840005;-0.0840005
1;187.879;-0.0763374;-0.0763374
1;189.899;-0.0674461;-0.0674461
1;191.919;-0.0574695;-0.0574695
1;193.939;-0.0465682;-0.0465682
1;195.96;-0.0349176;-0.0349176
1;197.98;-0.0227052;-0.0227052
1;200;0;0
2;0;0;0
2;2.0202;-0.00351147;-0.00351147
2;4.0404;0.00525161;0.00525161
2;6.06061;0.0179812;0.0179812
2;8.08081;0.0304214;0.0304214
2;10.101;0.0423721;0.0423721
2;12.1212;0.053641;0.053641
2;14.1414;0.0640469;0.0640469
2;16.1616;0.0734222;0.0734222
2;18.1818;0.0816161;0.0816161
2;20.202;0.0884968;0.0884968
2;22.2222;0.0939535;0.0939535
2;24.2424;0.0978985;0.0978985
2;26.2626;0.100268;0.100268
2;28.2828;0.101025;0.101025
2;30.303;0.100156;0.100156
2;32.3232;0.0976749;0.0976749
2;34.3434;0.0936226;0.0936226
2;36.3636;0.0880639;0.0880639
2;38.3838;0.0810882;0.0810882
2;40.404;0.0728078;0.0728078
2;42.4242;0.0633559;0.0633559
2;44.4444;0.0528845;0.0528845
2;46.4646;0.0415622;0.0415622
2;48.4848;0.0295712;0.0295712
2;50.5051;0.0171043;0.0171043
2;52.5253;0.00436228;0.00436228
2;54.5455;-0.00844997;-0.00844997
2;56.5657;-0.0211263;-0.0211263
2;58.5859;-0.0334626;-0.0334626
2;60.6061;-0.0452605;-0.0452605
2;62.6263;-0.0563302;-0.0563302
2;64.6465;-0.0664935;-0.0664935
2;66.6667;-0.0755869;-0.0755869
2;68.6869;-0.0834641;-0.0834641
2;70.7071;-0.0899983;-0.0899983
2;72.7273;-0.0950844;-0.0950844
2;74.7475;-0.0986405;-0.0986405
2;76.7677;-0.10061;-0.10061
2;78.7879;-0.10096;-0.10096
2;80.8081;-0.0996853;-0.0996853
2;82.8283;-0.096807;-0.096807
2;84.8485;-0.0923711;-0.0923711
2;86.8687;-0.0864488;-0.0864488
2;88.8889;-0.0791356;-0.0791356
2;90.9091;-0.070549;-0.070549
2;92.9293;-0.0608273;-0.0608273
2;94.9495;-0.0501268;-0.0501268
2;96.9697;-0.0386198;-0.0386198
2;98.9899;-0.0264914;-0.0264914
2;101.01;-0.0139367;-0.0139367
2;103.03;-0.00115774;-0.00115774
2;105.051;0.0116398;0.0116398
2;107.071;0.0242501;0.0242501
2;109.091;0.0364702;0.0364702
2;111.111;0.0481034;0.0481034
2;113.131;0.0589627;0.0589627
2;115.152;0.0688732;0.0688732
2;117.172;0.0776755;0.0776755
2;119.192;0.085228;0.085228
2;121.212;0.0914092;0.0914092
2;123.232;0.0961195;0.0961195
2;125.253;0.0992833;0.0992833
2;127.273;0.100849;0.100849
2;129.293;0.100793;0.100793
2;131.313;0.0991148;0.0991148
2;133.333;0.0958417;0.0958417
2;135.354;0.0910265;0.0910265
2;137.374;0.0847467;0.0847467
2;139.394;0.0771032;0.0771032
2;141.414;0.0682192;0.0682192
2;143.434;0.0582374;0.0582374
2;145.455;0.0473186;0.0473186
2;147.475;0.0356385;0.0356385
2;149.495;0.0233848;0.0233848
2;151.515;0.010755;0.010755
2;153.535;-0.00204797;-0.00204797
2;155.556;-0.0148179;-0.0148179
2;157.576;-0.0273495;-0.0273495
2;159.596;-0.039441;-0.039441
2;161.616;-0.0508979;-0.0508979
2;163.636;-0.0615358;-0.0615358
2;165.657;-0.0711835;-0.0711835
