0	0
0	0.222222
0	0.444444
0	0.666667
0	0.888889
0	1.11111
0	1.33333
0	1.55556
0	1.77778
0	2
0.222222	0
0.222222	0.222222
0.222222	0.444444
0.222222	0.666667
0.222222	0.888889
0.222222	1.11111
0.222222	1.33333
0.222222	1.55556
0.222222	1.77778
0.222222	2
0.444444	0
0.444444	0.222222
0.444444	0.444444
0.444444	0.666667
0.444444	0.888889
0.444444	1.11111
0.444444	1.33333
0.444444	1.55556
0.444444	1.77778
0.444444	2
0.666667	0
0.666667	0.222222
0.666667	0.444444
0.666667	0.666667
0.666667	0.888889
0.666667	1.11111
0.666667	1.33333
0.666667	1.55556
0.666667	1.77778
0.666667	2
0.888889	0
0.888889	0.222222
0.888889	0.444444
0.888889	0.666667
0.888889	0.888889
0.888889	1.11111
0.888889	1.33333
0.888889	1.55556
0.888889	1.77778
0.888889	2
1.11111	0
1.11111	0.222222
1.11111	0.444444
1.11111	0.666667
1.11111	0.888889
1.11111	1.11111
1.11111	1.33333
1.11111	1.55556
1.11111	1.77778
1.11111	2
1.33333	0
1.33333	0.222222
1.33333	0.444444
1.33333	0.666667
1.33333	0.888889
1.33333	1.11111
1.33333	1.33333
1.33333	1.55556
1.33333	1.77778
1.33333	2
1.55556	0
1.55556	0.222222
1.55556	0.444444
1.55556	0.666667
1.55556	0.888889
1.55556	1.11111
1.55556	1.33333
1.55556	1.55556
1.55556	1.77778
1.55556	2
1.77778	0
1.77778	0.222222
1.77778	0.444444
1.77778	0.666667
1.77778	0.888889
1.77778	1.11111
1.77778	1.33333
1.77778	1.55556
1.77778	1.77778
1.77778	2
2	0
2	0.222222
2	0.444444
2	0.666667
2	0.888889
2	1.11111
2	1.33333
2	1.55556
2	1.77778
2	2
