# Tiempo: 0.000000
# k	zE	zH	Ex	Hy
41	41.0000000000	41.5000000000	0.0780813819	0.0740128686
42	42.0000000000	42.5000000000	0.0738212418	0.0698185744
43	43.0000000000	43.5000000000	0.0692697629	0.0653487382
44	44.0000000000	44.5000000000	0.0644449079	0.0606210004
45	45.0000000000	45.5000000000	0.0593657183	0.0556540192
46	46.0000000000	46.5000000000	0.0540522394	0.0504673970
47	47.0000000000	47.5000000000	0.0485254409	0.0450816030
48	48.0000000000	48.5000000000	0.0428071347	0.0395178925
49	49.0000000000	49.5000000000	0.0369198884	0.0337982230
50	50.0000000000	50.5000000000	0.0308869360	0.0279451673
51	51.0000000000	51.5000000000	0.0247320871	0.0219818249
52	52.0000000000	52.5000000000	0.0184796319	0.0159317302
53	53.0000000000	53.5000000000	0.0121542460	0.0098187602
54	54.0000000000	54.5000000000	0.0057808929	0.0036670401
55	55.0000000000	55.5000000000	-0.0006152748	-0.0024991522
56	56.0000000000	56.5000000000	-0.0070090143	-0.0086554814
57	57.0000000000	57.5000000000	-0.0133750923	-0.0147776514
58	58.0000000000	58.5000000000	-0.0196883850	-0.0208415008
59	59.0000000000	59.5000000000	-0.0259239767	-0.0268230983
60	60.0000000000	60.5000000000	-0.0320572582	-0.0326988372
61	61.0000000000	61.5000000000	-0.0380640244	-0.0384455288
62	62.0000000000	62.5000000000	-0.0439205693	-0.0440404935
63	63.0000000000	63.5000000000	-0.0496037798	-0.0494616505
64	64.0000000000	64.5000000000	-0.0550912268	-0.0546876049
65	65.0000000000	65.5000000000	-0.0603612539	-0.0596977323
66	66.0000000000	66.5000000000	-0.0653930627	-0.0644722601
67	67.0000000000	67.5000000000	-0.0701667949	-0.0689923452
68	68.0000000000	68.5000000000	-0.0746636109	-0.0732401492
69	69.0000000000	69.5000000000	-0.0788657637	-0.0771989077
70	70.0000000000	70.5000000000	-0.0827566694	-0.0808529974
71	71.0000000000	71.5000000000	-0.0863209723	-0.0841879972
72	72.0000000000	72.5000000000	-0.0895446058	-0.0871907455
73	73.0000000000	73.5000000000	-0.0924148476	-0.0898493918
74	74.0000000000	74.5000000000	-0.0949203703	-0.0921534435
75	75.0000000000	75.5000000000	-0.0970512856	-0.0940938078
76	76.0000000000	76.5000000000	-0.0987991838	-0.0956628267
77	77.0000000000	77.5000000000	-0.1001571668	-0.0968543082
78	78.0000000000	78.5000000000	-0.1011198752	-0.0976635499
79	79.0000000000	79.5000000000	-0.1016835096	-0.0980873583
80	80.0000000000	80.5000000000	-0.1018458457	-0.0981240606
81	81.0000000000	81.5000000000	-0.1016062428	-0.0977735122
82	82.0000000000	82.5000000000	-0.1009656464	-0.0970370963
83	83.0000000000	83.5000000000	-0.0999265848	-0.0959177193
84	84.0000000000	84.5000000000	-0.0984931586	-0.0944197990
85	85.0000000000	85.5000000000	-0.0966710248	-0.0925492468
86	86.0000000000	86.5000000000	-0.0944673748	-0.0903134450
87	87.0000000000	87.5000000000	-0.0918909051	-0.0877212173
88	88.0000000000	88.5000000000	-0.0889517840	-0.0847827941
89	89.0000000000	89.5000000000	-0.0856616109	-0.0815097719
90	90.0000000000	90.5000000000	-0.0820333705	-0.0779150678
91	91.0000000000	91.5000000000	-0.0780813819	-0.0740128686
92	92.0000000000	92.5000000000	-0.0738212418	-0.0698185744
93	93.0000000000	93.5000000000	-0.0692697629	-0.0653487382
94	94.0000000000	94.5000000000	-0.0644449079	-0.0606210004
95	95.0000000000	95.5000000000	-0.0593657183	-0.0556540192
96	96.0000000000	96.5000000000	-0.0540522394	-0.0504673970
97	97.0000000000	97.5000000000	-0.0485254409	-0.0450816030
98	98.0000000000	98.5000000000	-0.0428071347	-0.0395178925
99	99.0000000000	99.5000000000	-0.0369198884	-0.0337982230
100	100.0000000000	100.5000000000	-0.0308869360	-0.0279451673
101	101.0000000000	101.5000000000	-0.0247320871	-0.0219818249
102	102.0000000000	102.5000000000	-0.0184796319	-0.0159317302
103	103.0000000000	103.5000000000	-0.0121542460	-0.0098187602
104	104.0000000000	104.5000000000	-0.0057808929	-0.0036670401
105	105.0000000000	105.5000000000	0.0006152748	0.0024991522
106	106.0000000000	106.5000000000	0.0070090143	0.0086554814
107	107.0000000000	107.5000000000	0.0133750923	0.0147776514
108	108.0000000000	108.5000000000	0.0196883850	0.0208415008
109	109.0000000000	109.5000000000	0.0259239767	0.0268230983
110	110.0000000000	110.5000000000	0.0320572582	0.0326988372
111	111.0000000000	111.5000000000	0.0380640244	0.0384455288
112	112.0000000000	112.5000000000	0.0439205693	0.0440404935
113	113.0000000000	113.5000000000	0.0496037798	0.0494616505
114	114.0000000000	114.5000000000	0.0550912268	0.0546876049
115	115.0000000000	115.5000000000	0.0603612539	0.0596977323
116	116.0000000000	116.5000000000	0.0653930627	0.0644722601
117	117.0000000000	117.5000000000	0.0701667949	0.0689923452
118	118.0000000000	118.5000000000	0.0746636109	0.0732401492
119	119.0000000000	119.5000000000	0.0788657637	0.0771989077
120	120.0000000000	120.5000000000	0.0827566694	0.0808529974
121	121.0000000000	121.5000000000	0.0863209723	0.0841879972
122	122.0000000000	122.5000000000	0.0895446058	0.0871907455
123	123.0000000000	123.5000000000	0.0924148476	0.0898493918
124	124.0000000000	124.5000000000	0.0949203703	0.0921534435
125	125.0000000000	125.5000000000	0.0970512856	0.0940938078
126	126.0000000000	126.5000000000	0.0987991838	0.0956628267
127	127.0000000000	127.5000000000	0.1001571668	0.0968543082
128	128.0000000000	128.5000000000	0.1011198752	0.0976635499
129	129.0000000000	129.5000000000	0.1016835096	0.0980873583
130	130.0000000000	130.5000000000	0.1018458457	0.0981240606
131	131.0000000000	131.5000000000	0.1016062428	0.0977735122
132	132.0000000000	132.5000000000	0.1009656464	0.0970370963
133	133.0000000000	133.5000000000	0.0999265848	0.0959177193
134	134.0000000000	134.5000000000	0.0984931586	0.0944197990
135	135.0000000000	135.5000000000	0.0966710248	0.0925492468
136	136.0000000000	136.5000000000	0.0944673748	0.0903134450
137	137.0000000000	137.5000000000	0.0918909051	0.0877212173
138	138.0000000000	138.5000000000	0.0889517840	0.0847827941
139	139.0000000000	139.5000000000	0.0856616109	0.0815097719
140	140.0000000000	140.5000000000	0.0820333705	0.0779150678
141	141.0000000000	141.5000000000	0.0780813819	0.0740128686
142	142.0000000000	142.5000000000	0.0738212418	0.0698185744
143	143.0000000000	143.5000000000	0.0692697629	0.0653487382
144	144.0000000000	144.5000000000	0.0644449079	0.0606210004
145	145.0000000000	145.5000000000	0.0593657183	0.0556540192
146	146.0000000000	146.5000000000	0.0540522394	0.0504673970
147	147.0000000000	147.5000000000	0.0485254409	0.0450816030
148	148.0000000000	148.5000000000	0.0428071347	0.0395178925
149	149.0000000000	149.5000000000	0.0369198884	0.0337982230
150	150.0000000000	150.5000000000	0.0308869360	0.0279451673
151	151.0000000000	151.5000000000	0.0247320871	0.0219818249
152	152.0000000000	152.5000000000	0.0184796319	0.0159317302
153	153.0000000000	153.5000000000	0.0121542460	0.0098187602
154	154.0000000000	154.5000000000	0.0057808929	0.0036670401
155	155.0000000000	155.5000000000	-0.0006152748	-0.0024991522
156	156.0000000000	156.5000000000	-0.0070090143	-0.0086554814
157	157.0000000000	157.5000000000	-0.0133750923	-0.0147776514
158	158.0000000000	158.5000000000	-0.0196883850	-0.0208415008
159	159.0000000000	159.5000000000	-0.0259239767	-0.0268230983
160	160.0000000000	160.5000000000	-0.0320572582	-0.0326988372
161	161.0000000000	161.5000000000	-0.0380640244	-0.0384455288
162	162.0000000000	162.5000000000	-0.0439205693	-0.0440404935
163	163.0000000000	163.5000000000	-0.0496037798	-0.0494616505
164	164.0000000000	164.5000000000	-0.0550912268	-0.0546876049
165	165.0000000000	165.5000000000	-0.0603612539	-0.0596977323
166	166.0000000000	166.5000000000	-0.0653930627	-0.0644722601
167	167.0000000000	167.5000000000	-0.0701667949	-0.0689923452
168	168.0000000000	168.5000000000	-0.0746636109	-0.0732401492
169	169.0000000000	169.5000000000	-0.0788657637	-0.0771989077
170	170.0000000000	170.5000000000	-0.0827566694	-0.0808529974
171	171.0000000000	171.5000000000	-0.0863209723	-0.0841879972
172	172.0000000000	172.5000000000	-0.0895446058	-0.0871907455
173	173.0000000000	173.5000000000	-0.0924148476	-0.0898493918
174	174.0000000000	174.5000000000	-0.0949203703	-0.0921534435
175	175.0000000000	175.5000000000	-0.0970512856	-0.0940938078
176	176.0000000000	176.5000000000	-0.0987991838	-0.0956628267
177	177.0000000000	177.5000000000	-0.1001571668	-0.0968543082
178	178.0000000000	178.5000000000	-0.1011198752	-0.0976635499
179	179.0000000000	179.5000000000	-0.1016835096	-0.0980873583
180	180.0000000000	180.5000000000	-0.1018458457	-0.0981240606
181	181.0000000000	181.5000000000	-0.1016062428	-0.0977735122
182	182.0000000000	182.5000000000	-0.1009656464	-0.0970370963
183	183.0000000000	183.5000000000	-0.0999265848	-0.0959177193
184	184.0000000000	184.5000000000	-0.0984931586	-0.0944197990
185	185.0000000000	185.5000000000	-0.0966710248	-0.0925492468
186	186.0000000000	186.5000000000	-0.0944673748	-0.0903134450
187	187.0000000000	187.5000000000	-0.0918909051	-0.0877212173
188	188.0000000000	188.5000000000	-0.0889517840	-0.0847827941
189	189.0000000000	189.5000000000	-0.0856616109	-0.0815097719
190	190.0000000000	190.5000000000	-0.0820333705	-0.0779395893
191	191.0000000000	191.5000000000	-0.0780323389	-0.0739761680
192	192.0000000000	192.5000000000	-0.0738946430	-0.0704802560
193	193.0000000000	193.5000000000	-0.0680935288	-0.0644441807
194	194.0000000000	194.5000000000	-0.0660338193	-0.0665437153
195	195.0000000000	195.5000000000	-0.0504604750	-0.0485034953
196	196.0000000000	196.5000000000	-0.0644673673	-0.0714874938
197	197.0000000000	197.5000000000	-0.0232057791	-0.0232946657
198	198.0000000000	198.5000000000	-0.0680368611	-0.0739779682
199	199.0000000000	199.5000000000	0.0000000000	0.0000000000

# Tiempo: 5.000000
# k	zE	zH	Ex	Hy
0	0.0000000000	0.5000000000	0.0000000000	0.0000000000
1	1.0000000000	1.5000000000	-0.0051999657	0.0050278675
2	2.0000000000	2.5000000000	0.0001754585	-0.0007322993
3	3.0000000000	3.5000000000	-0.0046790409	0.0045519707
4	4.0000000000	4.5000000000	0.0014441626	-0.0003285955
5	5.0000000000	5.5000000000	-0.0048642810	0.0055438038
6	6.0000000000	6.5000000000	0.0012155737	-0.0021552631
7	7.0000000000	7.5000000000	-0.0063356973	0.0035375974
8	8.0000000000	8.5000000000	-0.0002301864	-0.0032120856
9	9.0000000000	9.5000000000	-0.0015581278	0.0026060885
10	10.0000000000	10.5000000000	0.0048032084	0.0027086351
11	11.0000000000	11.5000000000	0.0090540182	0.0087258170
12	12.0000000000	12.5000000000	0.0154658657	0.0132995031
13	13.0000000000	13.5000000000	0.0214917693	0.0193016712
14	14.0000000000	14.5000000000	0.0277744847	0.0250295961
15	15.0000000000	15.5000000000	0.0339193811	0.0308667590
16	16.0000000000	16.5000000000	0.0399598102	0.0365662216
17	17.0000000000	17.5000000000	0.0458412542	0.0421379032
18	18.0000000000	18.5000000000	0.0515431000	0.0475426092
19	19.0000000000	19.5000000000	0.0570415050	0.0527603803
20	20.0000000000	20.5000000000	0.0623148172	0.0577699185
21	21.0000000000	21.5000000000	0.0673422012	0.0625514771
22	22.0000000000	22.5000000000	0.0721038164	0.0670861736
23	23.0000000000	23.5000000000	0.0765808707	0.0713561116
24	24.0000000000	24.5000000000	0.0807556953	0.0753444397
25	25.0000000000	25.5000000000	0.0846118141	0.0790354176
26	26.0000000000	26.5000000000	0.0881340087	0.0824144789
27	27.0000000000	27.5000000000	0.0913083787	0.0854682879
28	28.0000000000	28.5000000000	0.0941223962	0.0881847926
29	29.0000000000	29.5000000000	0.0965649556	0.0905532722
30	30.0000000000	30.5000000000	0.0986264172	0.0925643794
31	31.0000000000	31.5000000000	0.1002986454	0.0942101773
32	32.0000000000	32.5000000000	0.1015750407	0.0954841707
33	33.0000000000	33.5000000000	0.1024505657	0.0963813317
34	34.0000000000	34.5000000000	0.1029217651	0.0968981196
35	35.0000000000	35.5000000000	0.1029867794	0.0970324949
36	36.0000000000	36.5000000000	0.1026453518	0.0967839272
37	37.0000000000	37.5000000000	0.1018988300	0.0961533976
38	38.0000000000	38.5000000000	0.1007501600	0.0951433945
39	39.0000000000	39.5000000000	0.0992038752	0.0937579039
40	40.0000000000	40.5000000000	0.0972660780	0.0920023936
41	41.0000000000	41.5000000000	0.0949444160	0.0898837920
42	42.0000000000	42.5000000000	0.0922480518	0.0874104600
43	43.0000000000	43.5000000000	0.0891876267	0.0845921590
44	44.0000000000	44.5000000000	0.0857752188	0.0814400113
45	45.0000000000	45.5000000000	0.0820242953	0.0779664571
